onset	duration	RT	accuracy
18.023	3.333	0.878	1
21.365	3.333	0.992	1
24.706	3.333	0.875	1
28.047	3.333	0.637	1
31.389	3.333	0.74	1
34.73	3.333	0.554	1
56.087	3.333	0.686	1
59.428	3.333	0.823	1
62.769	3.333	0.856	1
66.111	3.333	0.629	1
69.452	3.333	0.944	1
72.794	3.333	0.782	1
94.15	3.333	0.612	1
97.492	3.333	0.605	1
100.833	3.333	0.746	1
104.174	3.333	0.697	1
107.516	3.333	0.611	1
110.857	3.333	0.774	1
132.214	3.333	0.956	1
135.555	3.333	0.627	1
138.896	3.333	2.436	1
142.238	3.333	0.811	1
145.579	3.333	0.777	1
148.921	3.333	0.706	1
170.277	3.333	2.098	0
173.619	3.333	1.075	1
176.96	3.333	1.039	1
180.301	3.333	0.688	1
183.643	3.333	0.852	1
186.984	3.333	0.753	1
208.341	3.333	0.786	1
211.682	3.333	0.759	1
215.023	3.333	0.707	1
218.365	3.333	1.092	1
221.706	3.333	1.097	1
225.048	3.333	1.337	1
246.404	3.333	0.844	1
249.746	3.333	1.104	1
253.087	3.333	0.895	1
256.428	3.333	0.593	1
259.77	3.333	0.805	1
263.111	3.333	0.789	1
284.468	3.333	0.782	1
287.809	3.333	0.96	1
291.151	3.333	0.703	1
294.492	3.333	1.392	1
297.833	3.333	0.618	1
301.175	3.333	0.578	1
322.531	3.333	0.726	1
325.873	3.333	0.763	1
329.214	3.333	1.298	1
332.555	3.333	1.093	1
335.897	3.333	0.645	1
339.238	3.333	1.752	1
360.595	3.333	0.841	1
363.936	3.333	0.647	1
367.278	3.333	0.639	1
370.619	3.333	0.952	1
373.96	3.333	0.858	1
377.302	3.333	0.834	1
398.658	3.333	1.091	1
402	3.333	0.933	1
405.341	3.333	0.78	1
408.682	3.333	0.941	1
412.024	3.333	0.593	1
415.365	3.333	0.683	1
436.722	3.333	0.708	1
440.063	3.333	0.62	1
443.404	3.333	0.964	1
446.746	3.333	0.76	1
450.087	3.333	0.599	1
453.429	3.333	0.828	1
