onset	duration	RT	accuracy
18.018	3.333	0.908	1
21.36	3.333	0.659	1
24.701	3.333	0.655	1
28.042	3.333	0.698	1
31.384	3.333	0.647	1
34.725	3.333	0.555	1
56.082	3.333	0.686	1
59.423	3.333	0.643	1
62.765	3.333	0.657	1
66.106	3.333	0.852	1
69.447	3.333	0.744	1
72.789	3.333	0.762	1
94.145	3.333	0.699	1
97.486	3.333	0.545	1
100.828	3.333	0.721	1
104.169	3.333	0.783	1
107.511	3.333	0.536	1
110.852	3.333	0.686	1
132.208	3.333	0.74	1
135.55	3.333	0.649	1
138.891	3.333	0.626	1
142.233	3.333	0.589	1
145.574	3.333	0.625	1
148.916	3.333	0.631	1
170.272	3.333	0.598	1
173.614	3.333	0.771	1
176.955	3.333	0.771	1
180.296	3.333	0.015	1
183.638	3.333	0.909	1
186.979	3.333	0.71	1
208.336	3.333	0.729	1
211.677	3.333	0.662	1
215.018	3.333	0.823	1
218.36	3.333	0.991	1
221.701	3.333	0.767	1
225.042	3.333	0.656	1
246.399	3.333	0.765	1
249.741	3.333	0.738	1
253.082	3.333	0.72	1
256.423	3.333	0.74	1
259.765	3.333	0.746	1
263.106	3.333	0.828	1
284.463	3.333	0.696	1
287.804	3.333	0.612	1
291.145	3.333	0.598	1
294.487	3.333	0.9	1
297.828	3.333	0.609	1
301.169	3.333	0.77	1
322.526	3.333	0.635	1
325.867	3.333	0.614	1
329.209	3.333	0.631	1
332.55	3.333	0.601	1
335.892	3.333	0.815	0
339.233	3.333	0.017	1
360.589	3.333	0.816	1
363.931	3.333	0.023	1
367.272	3.333	0.924	1
370.614	3.333	1.055	1
373.955	3.333	0.844	1
377.296	3.333	0.681	1
398.653	3.333	0.014	0
401.994	3.333	0.657	1
405.336	3.333	0.595	1
408.677	3.333	0.653	1
412.018	3.333	0.625	1
415.36	3.333	0.667	1
436.716	3.333	1.015	1
440.058	3.333	0.017	0
443.399	3.333	0.021	1
446.741	3.333	0.871	1
450.082	3.333	0.623	1
453.423	3.333	1.134	1
