onset	duration	RT	accuracy
18.016	3.333	1.277	1
21.355	3.333	1.896	1
24.694	3.333	2.064	1
28.032	3.333	1.671	1
31.371	3.333	1.884	1
34.71	3.333	1.892	1
56.061	3.333	1.795	1
59.399	3.333	1.407	0
62.738	3.333	1.22	0
66.077	3.333	1.484	1
69.415	3.333	1.381	1
72.754	3.333	1.095	1
94.105	3.333	1.888	1
97.444	3.333	1.909	1
100.782	3.333	1.211	1
104.121	3.333	1.851	1
107.46	3.333	1.674	1
110.799	3.333	1.177	1
132.15	3.333	1.974	1
135.488	3.333	1.385	1
138.827	3.333	2.219	1
142.166	3.333	1.354	1
145.504	3.333	1.881	1
148.843	3.333	2.045	1
170.194	3.333	1.295	1
173.533	3.333	1.615	1
176.871	3.333	2.149	1
180.21	3.333	2.484	1
183.549	3.333	2.117	0
186.887	3.333	2.128	0
208.238	3.333	2.451	1
211.577	3.333	1.194	1
214.916	3.333	1.916	1
218.254	3.333	1.884	1
221.593	3.333	1.359	1
224.932	3.333	2.275	1
246.283	3.333	1.41	1
249.622	3.333	1.561	1
252.96	3.333	1.661	1
256.299	3.333	1.152	1
259.638	3.333	1.216	1
262.976	3.333	1.525	1
284.327	3.333	1.572	1
287.666	3.333	1.049	1
291.005	3.333	2.827	0
294.343	3.333	1.456	1
297.682	3.333	2.644	1
301.021	3.333	1.364	1
322.372	3.333	1.488	1
325.71	3.333	1.899	1
329.049	3.333	1.878	1
332.388	3.333	1.316	1
335.726	3.333	1.763	1
339.065	3.333	1.554	1
360.416	3.333	1.75	1
363.755	3.333	1.132	1
367.094	3.333	2.22	1
370.432	3.333	1.222	1
373.771	3.333	1.239	1
377.11	3.333	1.247	1
398.461	3.333	1.028	1
401.799	3.333	1.354	1
405.138	3.333	1.06	1
408.477	3.333	1.105	1
411.815	3.333	1.407	1
415.154	3.333	1.305	1
436.505	3.333	2.218	1
439.844	3.333	2.433	1
443.182	3.333	1.383	1
446.521	3.333	1.961	1
449.86	3.333	1.948	1
453.198	3.333	1.662	1
