onset	duration	RT	accuracy
18.018	3.333	1.186	1
21.36	3.333	0.848	1
24.701	3.333	0.925	1
28.042	3.333	0.643	1
31.384	3.333	0.669	1
34.725	3.333	0.72	1
56.082	3.333	0.589	1
59.423	3.333	0.859	1
62.765	3.333	0.795	1
66.106	3.333	1.275	1
69.447	3.333	1.174	1
72.789	3.333	0.97	1
94.145	3.333	0.852	1
97.486	3.333	0.94	1
100.828	3.333	0.674	1
104.169	3.333	0.921	1
107.511	3.333	1.44	1
110.852	3.333	1.24	1
132.209	3.333	1.14	1
135.55	3.333	1.04	1
138.891	3.333	0.873	1
142.233	3.333	1.008	1
145.574	3.333	0.834	1
148.915	3.333	0.679	1
170.272	3.333	1.187	1
173.613	3.333	0.897	1
176.955	3.333	0.763	1
180.296	3.333	0.904	1
183.638	3.333	1.19	1
186.979	3.333	1.002	1
208.336	3.333	1.067	1
211.677	3.333	0.855	1
215.018	3.333	0.821	1
218.36	3.333	1.369	1
221.701	3.333	0.902	1
225.042	3.333	0.931	1
246.399	3.333	0.928	1
249.74	3.333	0.849	1
253.082	3.333	1.45	1
256.423	3.333	1.344	1
259.764	3.333	0.983	1
263.106	3.333	1.004	1
284.462	3.333	0.936	1
287.804	3.333	1.029	1
291.145	3.333	0.807	1
294.486	3.333	1.294	1
297.828	3.333	0.889	1
301.169	3.333	0.896	1
322.526	3.333	0.733	1
325.867	3.333	0.955	1
329.208	3.333	1.001	1
332.55	3.333	1.231	1
335.891	3.333	1.319	1
339.233	3.333	1.154	1
360.589	3.333	1.284	1
363.93	3.333	1.387	1
367.272	3.333	1.035	1
370.613	3.333	1.027	1
373.955	3.333	0.8	1
377.296	3.333	0.684	1
398.653	3.333	0.751	1
401.994	3.333	0.967	1
405.335	3.333	0.814	1
408.677	3.333	1.147	1
412.018	3.333	0.587	1
415.36	3.333	0.66	1
436.716	3.333	0.774	1
440.057	3.333	1.067	1
443.399	3.333	1.027	1
446.74	3.333	1.121	1
450.082	3.333	0.74	1
453.423	3.333	1.488	1
