onset	duration	RT	accuracy
18.233	6.7	0.775	1
24.907	6.7	0.538	1
31.582	6.7	0.271	1
56.48	6.7	0.448	1
63.154	6.7	0.596	1
69.829	6.7	0.553	1
94.727	6.7	0.869	1
101.401	6.7	0.673	1
108.075	6.7	0.6	1
132.973	6.7	0.605	1
139.648	6.7	0.619	0
146.322	6.7	0.358	1
171.22	6.7	0.435	1
177.895	6.7	0.488	1
184.569	6.7	0.376	1
209.467	6.7	0.558	1
216.141	6.7	0.557	1
222.816	6.7	0.4	1
247.714	6.7	0.517	1
254.388	6.7	0.493	1
261.063	6.7	0.42	1
285.961	6.7	0.873	0
292.635	6.7	0.268	1
299.309	6.7	0.446	1
324.207	6.7	0.602	1
330.882	6.7	0.524	1
337.556	6.7	0.51	1
362.454	6.7	0.509	1
369.128	6.7	0.411	1
375.803	6.7	0.368	1
400.701	6.7	0.862	0
407.375	6.7	0.375	1
414.05	6.7	0.456	1
438.948	6.7	0.699	1
445.622	6.7	0.443	1
452.296	6.7	0.501	0
