onset	duration	RT	accuracy
18.017	3.333	2.73	1
21.355	3.333	2.77	1
24.694	3.333	1.884	1
28.033	3.333	2.371	1
31.371	3.333	2.088	1
34.71	3.333	1.918	1
56.061	3.333	1.96	1
59.4	3.333	1.838	1
62.739	3.333	1.856	1
66.077	3.333	1.998	1
69.416	3.333	2.037	1
72.755	3.333	2.064	0
94.106	3.333	1.957	1
97.444	3.333	NaN	NaN
100.783	3.333	0.125	1
104.122	3.333	2.389	1
107.46	3.333	2.041	1
110.799	3.333	2.059	1
132.15	3.333	1.905	1
135.489	3.333	3.026	0
138.828	3.333	2.248	1
142.166	3.333	2.188	0
145.505	3.333	3.054	0
148.844	3.333	2.889	1
170.195	3.333	2.362	1
173.533	3.333	2.493	1
176.872	3.333	3.051	0
180.211	3.333	1.837	1
183.55	3.333	2.094	1
186.888	3.333	2.01	1
208.239	3.333	2.893	0
211.578	3.333	2.217	1
214.917	3.333	2.006	1
218.255	3.333	2.431	1
221.594	3.333	2.259	0
224.933	3.333	2.348	0
246.284	3.333	1.856	1
249.622	3.333	2.766	0
252.961	3.333	2.045	1
256.3	3.333	3.283	0
259.639	3.333	1.984	1
262.977	3.333	2.425	1
284.328	3.333	1.991	1
287.667	3.333	1.98	1
291.006	3.333	2.189	1
294.344	3.333	2.538	1
297.683	3.333	1.331	1
301.022	3.333	2.119	1
322.373	3.333	2.042	1
325.712	3.333	2.088	1
329.05	3.333	1.582	1
332.389	3.333	2.544	1
335.728	3.333	2.239	1
339.066	3.333	1.787	1
360.417	3.333	2.432	0
363.756	3.333	2.282	1
367.095	3.333	2.187	1
370.434	3.333	1.842	1
373.772	3.333	1.435	1
377.111	3.333	1.743	0
398.462	3.333	1.7	1
401.801	3.333	2.192	1
405.139	3.333	2.021	0
408.478	3.333	1.804	1
411.817	3.333	1.947	0
415.156	3.333	1.878	1
436.507	3.333	1.707	1
439.845	3.333	2.362	1
443.184	3.333	2.232	1
446.523	3.333	2.183	1
449.861	3.333	1.973	1
453.2	3.333	2.308	0
