onset	duration	RT	accuracy
18.023	3.333	2.532	1
21.362	3.333	2.602	1
24.701	3.333	1.729	1
28.039	3.333	2.296	0
31.378	3.333	1.542	1
34.717	3.333	1.95	1
56.068	3.333	1.776	1
59.406	3.333	2.923	1
62.745	3.333	2.447	1
66.084	3.333	1.805	1
69.423	3.333	2.388	1
72.761	3.333	2.105	1
94.112	3.333	2.116	1
97.451	3.333	3.127	0
100.79	3.333	1.729	1
104.128	3.333	2.879	1
107.467	3.333	1.608	1
110.806	3.333	2.047	1
132.157	3.333	2.241	1
135.495	3.333	2.72	1
138.834	3.333	1.713	1
142.173	3.333	2.874	1
145.512	3.333	2.205	1
148.85	3.333	2.904	1
170.201	3.333	2.708	1
173.54	3.333	2.385	1
176.879	3.333	3.023	1
180.217	3.333	2.772	1
183.556	3.333	2.532	1
186.895	3.333	2.487	1
208.246	3.333	2.677	1
211.585	3.333	NaN	NaN
214.923	3.333	3.14	1
218.262	3.333	2.258	1
221.601	3.333	1.425	1
224.939	3.333	2.569	1
246.29	3.333	2.393	1
249.629	3.333	2.832	1
252.968	3.333	2.155	1
256.307	3.333	3.017	1
259.645	3.333	2.349	1
262.984	3.333	1.958	1
284.335	3.333	2.293	1
287.674	3.333	1.726	1
291.012	3.333	2.166	1
294.351	3.333	2.279	1
297.69	3.333	1.868	1
301.029	3.333	1.831	1
322.38	3.333	2.932	0
325.718	3.333	2.99	1
329.057	3.333	2.998	1
332.396	3.333	2.267	0
335.734	3.333	2.578	1
339.073	3.333	1.625	1
360.424	3.333	2.227	0
363.763	3.333	2.177	1
367.102	3.333	2.798	1
370.44	3.333	2.176	1
373.779	3.333	1.717	1
377.118	3.333	2.542	1
398.469	3.333	2.325	1
401.808	3.333	2.49	1
405.146	3.333	2.594	1
408.485	3.333	3.108	1
411.824	3.333	2.755	0
415.162	3.333	1.648	1
436.514	3.333	2.124	1
439.852	3.333	2.737	1
443.191	3.333	NaN	NaN
446.53	3.333	0.385	0
449.868	3.333	2.299	1
453.207	3.333	2.218	1
