onset	duration	RT	accuracy
18.225	6.7	NaN	NaN
24.836	6.7	0.276	1
31.446	6.7	0.031	1
56.269	6.7	0.39	0
62.897	6.7	0.648	1
69.507	6.7	NaN	NaN
94.331	6.7	0.208	0
100.958	6.7	0.316	1
107.568	6.7	0.141	1
132.408	6.7	0.086	0
139.019	6.7	0.683	1
145.63	6.7	0.301	0
170.453	6.7	0.093	1
177.063	6.7	0.188	1
183.691	6.7	0.255	1
208.531	6.7	0.172	1
215.158	6.7	NaN	NaN
221.769	6.7	0.291	0
246.592	6.7	0.31	1
253.202	6.7	0.27	1
259.813	6.7	0.268	1
284.636	6.7	0.49	1
291.247	6.7	0.254	1
297.857	6.7	0.269	1
322.697	6.7	0.197	1
329.308	6.7	0.189	0
335.919	6.7	0.082	0
360.758	6.7	0.202	0
367.369	6.7	0.495	1
373.98	6.7	0.357	1
398.82	6.7	0.472	1
405.43	6.7	0.246	1
412.041	6.7	0.062	0
436.864	6.7	0.302	0
443.475	6.7	0.252	1
450.085	6.7	0.179	0
