onset	duration	RT	accuracy
18.024	3.333	1.535	0
21.366	3.333	1.589	1
24.707	3.333	1.435	1
28.048	3.333	1.375	1
31.39	3.333	2.424	1
34.731	3.333	2.21	1
56.088	3.333	1.36	1
59.429	3.333	1.749	0
62.771	3.333	2.011	0
66.112	3.333	1.887	0
69.453	3.333	2.322	1
72.795	3.333	2.489	1
94.151	3.333	2.366	1
97.493	3.333	2.108	0
100.834	3.333	2.511	1
104.176	3.333	2.216	1
107.517	3.333	2.906	1
110.858	3.333	1.49	1
132.215	3.333	2.027	1
135.556	3.333	2.687	1
138.898	3.333	2.527	1
142.239	3.333	1.973	1
145.58	3.333	1.796	1
148.922	3.333	2.817	1
170.278	3.333	1.581	1
173.619	3.333	2.281	1
176.961	3.333	2.108	1
180.302	3.333	2.217	1
183.644	3.333	2.162	1
186.985	3.333	3.117	1
208.342	3.333	2.162	1
211.683	3.333	1.782	1
215.025	3.333	2.05	1
218.366	3.333	2.181	1
221.707	3.333	2.202	1
225.049	3.333	2.553	0
246.405	3.333	1.807	0
249.746	3.333	2.007	1
253.088	3.333	2.056	1
256.429	3.333	1.972	1
259.771	3.333	1.738	1
263.112	3.333	1.739	1
284.469	3.333	1.764	1
287.81	3.333	1.881	1
291.151	3.333	2.163	1
294.493	3.333	1.524	1
297.834	3.333	2.203	1
301.175	3.333	1.792	1
322.532	3.333	1.557	1
325.873	3.333	1.712	1
329.215	3.333	1.993	1
332.556	3.333	0.001	0
335.897	3.333	0.001	1
339.239	3.333	2.497	1
360.595	3.333	1.464	1
363.937	3.333	2.091	1
367.278	3.333	1.969	1
370.62	3.333	1.958	1
373.961	3.333	2.602	0
377.302	3.333	1.844	1
398.659	3.333	1.546	1
402	3.333	1.837	0
405.342	3.333	2.062	1
408.683	3.333	1.404	1
412.024	3.333	2.817	0
415.366	3.333	2.535	1
436.722	3.333	1.756	1
440.064	3.333	2.132	0
443.405	3.333	2.836	0
446.747	3.333	2.111	1
450.088	3.333	1.493	1
453.429	3.333	1.647	1
