onset	duration	RT	accuracy
18.026	3.333	0.076	0
21.368	3.333	0.02	0
24.709	3.333	0.022	1
28.05	3.333	0.025	1
31.392	3.333	0.021	0
34.733	3.333	3.324	1
56.09	3.333	0.018	0
59.431	3.333	0.021	1
62.773	3.333	2.391	1
66.114	3.333	0.018	1
69.456	3.333	2.244	1
72.797	3.333	1.913	1
94.154	3.333	0.019	0
97.495	3.333	0.014	1
100.836	3.333	0.024	1
104.178	3.333	2.638	1
107.519	3.333	0.022	0
110.86	3.333	2.272	0
132.217	3.333	0.021	1
135.558	3.333	2.902	1
138.9	3.333	0.018	0
142.241	3.333	2.27	1
145.583	3.333	1.854	1
148.924	3.333	1.076	0
170.281	3.333	0.022	0
173.622	3.333	0.017	1
176.963	3.333	0.02	0
180.305	3.333	0.015	0
183.646	3.333	0.017	1
186.987	3.333	0.02	1
208.344	3.333	2.845	1
211.685	3.333	0.025	1
215.027	3.333	1.45	0
218.368	3.333	0.023	1
221.709	3.333	0.95	0
225.051	3.333	0.021	0
246.408	3.333	0.024	0
249.749	3.333	0.02	0
253.09	3.333	0.022	1
256.432	3.333	0.018	0
259.773	3.333	0.02	1
263.114	3.333	0.016	0
284.471	3.333	0.017	0
287.812	3.333	0.021	0
291.154	3.333	0.015	1
294.495	3.333	0.309	1
297.836	3.333	0.014	0
301.178	3.333	0.023	1
322.534	3.333	0.02	1
325.876	3.333	0.632	0
329.217	3.333	0.024	0
332.559	3.333	0.02	0
335.9	3.333	0.022	1
339.241	3.333	2.457	1
360.598	3.333	0.02	0
363.939	3.333	0.023	1
367.281	3.333	0.019	0
370.622	3.333	0.02	1
373.963	3.333	1.707	1
377.305	3.333	0.019	1
398.661	3.333	2.031	1
402.003	3.333	2.498	1
405.344	3.333	0.02	0
408.686	3.333	0.022	1
412.027	3.333	1.174	0
415.368	3.333	1.835	1
436.725	3.333	1.85	1
440.066	3.333	2.31	1
443.408	3.333	0.411	1
446.749	3.333	2.277	1
450.091	3.333	2.412	1
453.432	3.333	2.392	1
