onset	duration	RT	accuracy
18.02	3.333	0.797	1
21.359	3.333	0.756	1
24.698	3.333	0.885	1
28.036	3.333	1.018	1
31.375	3.333	0.794	1
34.714	3.333	1.001	1
56.065	3.333	0.899	1
59.404	3.333	0.969	1
62.743	3.333	0.72	1
66.082	3.333	1.27	1
69.42	3.333	1.191	1
72.759	3.333	1.398	1
94.11	3.333	0.791	1
97.449	3.333	1.38	1
100.788	3.333	1.12	1
104.127	3.333	0.738	1
107.465	3.333	1.204	1
110.804	3.333	1.054	1
132.155	3.333	0.654	1
135.494	3.333	0.708	1
138.833	3.333	0.844	1
142.172	3.333	0.755	1
145.51	3.333	1.061	1
148.849	3.333	0.771	1
170.201	3.333	1.167	1
173.539	3.333	1.084	1
176.878	3.333	0.875	1
180.217	3.333	0.896	1
183.556	3.333	0.848	1
186.894	3.333	0.908	1
208.246	3.333	0.992	1
211.584	3.333	1.055	1
214.923	3.333	0.925	1
218.262	3.333	0.84	1
221.601	3.333	1.009	1
224.939	3.333	0.709	1
246.291	3.333	1.136	1
249.63	3.333	0.777	1
252.968	3.333	1.088	1
256.307	3.333	0.758	1
259.646	3.333	0.789	1
262.985	3.333	1.147	1
284.336	3.333	1.338	1
287.675	3.333	1.023	1
291.013	3.333	0.785	1
294.352	3.333	0.873	1
297.691	3.333	0.761	1
301.03	3.333	0.89	1
322.381	3.333	0.752	1
325.72	3.333	0.729	1
329.059	3.333	1.093	1
332.397	3.333	0.788	1
335.736	3.333	0.801	1
339.075	3.333	0.989	1
360.426	3.333	1.015	1
363.765	3.333	0.927	1
367.104	3.333	1.451	1
370.442	3.333	1.43	1
373.781	3.333	0.714	1
377.12	3.333	0.668	1
398.471	3.333	1.019	1
401.81	3.333	0.93	1
405.149	3.333	0.997	1
408.488	3.333	0.87	1
411.826	3.333	0.68	1
415.165	3.333	0.752	1
436.516	3.333	0.627	1
439.855	3.333	0.859	1
443.194	3.333	0.777	1
446.533	3.333	0.778	1
449.871	3.333	0.99	1
453.21	3.333	1.202	0
