onset	duration	RT	accuracy
18.022	3.333	0.966	1
21.363	3.333	0.979	1
24.705	3.333	0.823	1
28.046	3.333	0.724	1
31.387	3.333	0.716	1
34.729	3.333	0.81	1
56.085	3.333	0.836	1
59.426	3.333	0.884	1
62.768	3.333	1.081	1
66.109	3.333	0.794	1
69.451	3.333	0.973	1
72.792	3.333	0.69	1
94.149	3.333	0.742	1
97.49	3.333	0.86	1
100.831	3.333	0.952	1
104.173	3.333	1.249	1
107.514	3.333	0.792	1
110.856	3.333	1.063	1
132.212	3.333	0.829	1
135.554	3.333	0.842	1
138.895	3.333	1.216	1
142.236	3.333	0.777	1
145.578	3.333	0.731	1
148.919	3.333	0.782	1
170.275	3.333	0.619	1
173.617	3.333	0.96	1
176.958	3.333	1.002	1
180.299	3.333	0.781	1
183.641	3.333	1.033	1
186.982	3.333	1.125	1
208.339	3.333	0.882	1
211.68	3.333	0.842	1
215.022	3.333	1.353	1
218.363	3.333	1.118	1
221.704	3.333	1.158	1
225.046	3.333	0.694	1
246.402	3.333	1.055	1
249.744	3.333	0.868	1
253.085	3.333	0.775	1
256.426	3.333	1.05	1
259.768	3.333	0.689	1
263.109	3.333	0.772	1
284.466	3.333	0.799	1
287.807	3.333	0.733	1
291.149	3.333	0.854	1
294.49	3.333	0.693	1
297.831	3.333	0.71	1
301.173	3.333	0.746	1
322.529	3.333	0.592	1
325.871	3.333	0.781	1
329.212	3.333	0.994	1
332.553	3.333	1.053	1
335.895	3.333	0.781	1
339.236	3.333	1.08	1
360.593	3.333	0.824	1
363.934	3.333	0.649	1
367.275	3.333	0.863	1
370.617	3.333	1.57	1
373.958	3.333	0.737	1
377.3	3.333	0.696	1
398.656	3.333	0.748	1
401.998	3.333	0.925	1
405.339	3.333	0.833	1
408.68	3.333	1.048	1
412.022	3.333	0.625	1
415.363	3.333	0.742	1
436.72	3.333	0.657	1
440.061	3.333	0.689	1
443.402	3.333	0.619	1
446.744	3.333	0.582	1
450.085	3.333	0.709	1
453.426	3.333	0.702	1
