onset	duration	type
18.019	14	gen
32.019	6	report
56.057	14	gen
70.057	6	report
94.096	14	gen
108.096	6	report
132.134	14	gen
146.134	6	report
170.173	14	gen
184.173	6	report
208.211	14	gen
222.211	6	report
246.25	14	gen
260.25	6	report
284.288	14	gen
298.288	6	report
322.327	14	gen
336.327	6	report
360.365	14	gen
374.365	6	report
398.404	14	gen
412.404	6	report
436.442	14	gen
450.442	6	report
