onset	duration	RT	accuracy
18.019	3.333	1.434	1
21.357	3.333	1.938	1
24.696	3.333	NaN	NaN
28.035	3.333	1.177	1
31.374	3.333	2.816	0
34.712	3.333	1.798	1
56.063	3.333	0.99	1
59.402	3.333	1.283	0
62.741	3.333	1.397	0
66.079	3.333	1.953	1
69.418	3.333	1.779	1
72.757	3.333	1.901	1
94.108	3.333	2.226	0
97.446	3.333	1.696	0
100.785	3.333	1.713	1
104.124	3.333	2.079	1
107.462	3.333	1.259	1
110.801	3.333	0.918	1
132.152	3.333	1.733	1
135.491	3.333	1.443	1
138.83	3.333	1.856	1
142.168	3.333	1.085	1
145.507	3.333	1.579	1
148.846	3.333	1.868	1
170.197	3.333	1.153	1
173.535	3.333	2.264	1
176.874	3.333	1.795	1
180.213	3.333	2.069	1
183.551	3.333	1.58	0
186.89	3.333	1.908	1
208.241	3.333	2.207	1
211.58	3.333	1.345	1
214.918	3.333	1.451	1
218.257	3.333	1.024	1
221.596	3.333	1.281	1
224.935	3.333	1.977	0
246.286	3.333	1.128	1
249.624	3.333	1.277	1
252.963	3.333	1.404	1
256.302	3.333	1.556	1
259.64	3.333	1.095	1
262.979	3.333	1.291	1
284.33	3.333	1.228	1
287.669	3.333	1.804	1
291.007	3.333	1.236	0
294.346	3.333	1.414	1
297.685	3.333	1.204	1
301.023	3.333	1.198	1
322.374	3.333	1.093	1
325.713	3.333	0.86	1
329.052	3.333	1.888	1
332.391	3.333	1.004	1
335.729	3.333	1.196	1
339.068	3.333	2.297	1
360.419	3.333	1.273	1
363.758	3.333	1.576	1
367.096	3.333	1.937	1
370.435	3.333	1.187	0
373.774	3.333	1.369	1
377.112	3.333	1.352	1
398.463	3.333	1.366	1
401.802	3.333	1.268	1
405.141	3.333	1.097	1
408.479	3.333	0.965	1
411.818	3.333	1.224	1
415.157	3.333	1.154	1
436.508	3.333	1.241	1
439.846	3.333	1.817	0
443.185	3.333	1.539	1
446.524	3.333	1.906	1
449.863	3.333	1.544	1
453.201	3.333	2.317	0
