onset	duration	RT	accuracy
18.019	3.333	2.447	1
21.36	3.333	2.176	1
24.701	3.333	NaN	NaN
28.043	3.333	2.105	1
31.384	3.333	2.199	1
34.726	3.333	3.054	1
56.082	3.333	1.93	1
59.423	3.333	2.555	0
62.765	3.333	2.118	0
66.106	3.333	1.754	0
69.448	3.333	NaN	NaN
72.789	3.333	2.749	1
94.145	3.333	2.09	0
97.487	3.333	2.328	1
100.828	3.333	2.629	1
104.17	3.333	2.463	1
107.511	3.333	2.703	0
110.852	3.333	1.361	1
132.209	3.333	1.868	1
135.55	3.333	1.472	1
138.892	3.333	2.174	1
142.233	3.333	1.26	1
145.574	3.333	1.52	1
148.916	3.333	2.226	1
170.272	3.333	1.498	0
173.614	3.333	3.216	1
176.955	3.333	0.001	0
180.296	3.333	0.001	1
183.638	3.333	2.436	0
186.979	3.333	2.199	1
208.336	3.333	3.199	1
211.677	3.333	0.001	0
215.019	3.333	1.866	1
218.36	3.333	1.618	1
221.701	3.333	2.175	1
225.042	3.333	2.733	0
246.399	3.333	2.209	1
249.741	3.333	1.691	1
253.082	3.333	2.425	1
256.423	3.333	1.517	1
259.765	3.333	1.368	1
263.106	3.333	3.108	1
284.463	3.333	3.088	0
287.804	3.333	3.161	1
291.145	3.333	0.001	1
294.487	3.333	1.452	1
297.828	3.333	1.85	1
301.169	3.333	2.474	0
322.526	3.333	1.791	1
325.867	3.333	2.179	1
329.209	3.333	2.283	1
332.55	3.333	NaN	NaN
335.891	3.333	0.087	1
339.233	3.333	2.615	1
360.589	3.333	1.534	1
363.931	3.333	1.801	1
367.272	3.333	1.839	1
370.614	3.333	1.471	1
373.955	3.333	1.971	1
377.296	3.333	2.175	1
398.653	3.333	2.405	1
401.994	3.333	1.545	1
405.335	3.333	1.714	1
408.677	3.333	1.201	1
412.018	3.333	1.926	1
415.36	3.333	2.738	1
436.716	3.333	1.682	1
440.058	3.333	2.476	1
443.399	3.333	NaN	NaN
446.74	3.333	0.309	1
450.082	3.333	2.246	0
453.423	3.333	1.468	0
