onset	duration	RT	accuracy
18.019	3.333	1.449	0
21.357	3.333	1.773	1
24.696	3.333	1.783	1
28.035	3.333	1.111	1
31.373	3.333	1.781	1
34.712	3.333	2.225	1
56.063	3.333	1.393	1
59.402	3.333	2.174	1
62.741	3.333	2.378	0
66.079	3.333	1.77	0
69.418	3.333	2.626	1
72.757	3.333	2.717	1
94.108	3.333	1.728	0
97.447	3.333	1.315	1
100.785	3.333	1.975	1
104.124	3.333	2.517	0
107.463	3.333	1.348	1
110.802	3.333	2.126	0
132.153	3.333	1.802	1
135.491	3.333	2.172	1
138.83	3.333	1.705	0
142.169	3.333	1.614	1
145.507	3.333	1.759	1
148.846	3.333	2.288	1
170.197	3.333	1.539	1
173.536	3.333	1.694	1
176.875	3.333	2.147	1
180.213	3.333	2.618	1
183.552	3.333	2.395	0
186.891	3.333	1.548	1
208.242	3.333	2.45	0
211.581	3.333	1.526	1
214.919	3.333	2.212	1
218.258	3.333	1.696	1
221.597	3.333	1.613	0
224.936	3.333	1.315	0
246.287	3.333	1.369	1
249.625	3.333	1.673	1
252.964	3.333	2.552	1
256.303	3.333	1.139	1
259.642	3.333	1.215	1
262.98	3.333	1.646	1
284.331	3.333	1.344	0
287.669	3.333	1.374	1
291.008	3.333	1.594	0
294.347	3.333	1.738	1
297.685	3.333	1.03	0
301.024	3.333	1.159	1
322.374	3.333	0.895	1
325.713	3.333	1.232	1
329.052	3.333	1.82	1
332.39	3.333	2.262	1
335.729	3.333	0.146	1
339.067	3.333	2.421	0
360.418	3.333	1.363	1
363.757	3.333	1.376	1
367.095	3.333	1.597	1
370.434	3.333	1.147	1
373.773	3.333	2.866	1
377.111	3.333	1.525	1
398.462	3.333	1.601	1
401.8	3.333	2.135	1
405.139	3.333	2.232	1
408.478	3.333	1.836	1
411.816	3.333	1.261	1
415.155	3.333	1.8	1
436.506	3.333	2.324	1
439.844	3.333	2.173	0
443.183	3.333	1.537	1
446.522	3.333	1.715	1
449.86	3.333	2.274	0
453.199	3.333	2.11	0
