onset	duration	type
18.026	14	gen
32.026	6	report
56.065	14	gen
70.065	6	report
94.103	14	gen
108.103	6	report
132.142	14	gen
146.142	6	report
170.181	14	gen
184.181	6	report
208.219	14	gen
222.219	6	report
246.257	14	gen
260.257	6	report
284.296	14	gen
298.296	6	report
322.334	14	gen
336.334	6	report
360.373	14	gen
374.373	6	report
398.411	14	gen
412.411	6	report
436.45	14	gen
450.45	6	report
