onset	duration	RT	accuracy
18.02	3.333	2.605	1
21.362	3.333	2.598	1
24.703	3.333	1.772	1
28.044	3.333	2.649	1
31.386	3.333	1.711	1
34.727	3.333	2.23	1
56.084	3.333	1.842	1
59.425	3.333	1.959	1
62.767	3.333	2.26	1
66.108	3.333	2.194	1
69.449	3.333	2.333	1
72.791	3.333	2.278	1
94.147	3.333	2.426	1
97.489	3.333	3.04	0
100.83	3.333	1.789	1
104.172	3.333	3.147	1
107.513	3.333	1.827	1
110.854	3.333	3.218	1
132.211	3.333	2.087	1
135.552	3.333	3.043	1
138.894	3.333	2.308	1
142.235	3.333	2.502	1
145.576	3.333	1.904	1
148.918	3.333	2.599	1
170.274	3.333	2.345	1
173.616	3.333	2.38	1
176.957	3.333	2.492	1
180.298	3.333	1.212	1
183.64	3.333	2.101	1
186.981	3.333	1.711	1
208.338	3.333	3.101	1
211.679	3.333	2.908	1
215.021	3.333	0.017	0
218.362	3.333	2.517	1
221.703	3.333	1.801	1
225.045	3.333	1.951	1
246.401	3.333	2.691	1
249.743	3.333	2.027	1
253.084	3.333	2.825	0
256.425	3.333	2.741	1
259.767	3.333	3.093	1
263.108	3.333	2.84	1
284.465	3.333	2.098	1
287.806	3.333	2.022	1
291.147	3.333	2.36	1
294.489	3.333	2.463	1
297.83	3.333	1.609	1
301.172	3.333	1.715	1
322.528	3.333	1.72	1
325.869	3.333	1.99	1
329.211	3.333	2.237	1
332.552	3.333	2.425	0
335.894	3.333	1.76	1
339.235	3.333	1.921	1
360.591	3.333	2.196	1
363.933	3.333	2.042	1
367.274	3.333	2.402	1
370.616	3.333	2.487	1
373.957	3.333	1.638	1
377.298	3.333	1.747	1
398.655	3.333	2.198	1
401.996	3.333	1.16	1
405.338	3.333	1.839	1
408.679	3.333	2.468	1
412.021	3.333	2.671	0
415.362	3.333	1.634	1
436.718	3.333	2.031	1
440.06	3.333	2.599	1
443.401	3.333	1.854	1
446.743	3.333	2.201	1
450.084	3.333	2.83	1
453.425	3.333	2.18	1
