onset	duration	RT	accuracy
18.022	3.333	2.089	1
21.363	3.333	1.588	1
24.704	3.333	2.32	1
28.046	3.333	1.35	1
31.387	3.333	2.101	1
34.729	3.333	1.993	1
56.085	3.333	1.537	1
59.427	3.333	1.938	0
62.768	3.333	2.015	0
66.109	3.333	1.599	1
69.451	3.333	2.035	1
72.792	3.333	2.715	0
94.149	3.333	1.998	1
97.49	3.333	2.006	1
100.831	3.333	2.475	1
104.173	3.333	1.919	1
107.514	3.333	1.617	1
110.855	3.333	2.445	0
132.212	3.333	2.34	1
135.553	3.333	1.957	1
138.895	3.333	1.726	1
142.236	3.333	1.742	1
145.577	3.333	1.869	1
148.919	3.333	2.289	1
170.275	3.333	1.687	1
173.617	3.333	2.09	1
176.958	3.333	2.025	1
180.3	3.333	2.859	0
183.641	3.333	1.944	1
186.982	3.333	1.917	1
208.339	3.333	1.919	1
211.68	3.333	1.292	1
215.021	3.333	2.01	1
218.363	3.333	1.517	1
221.704	3.333	1.45	1
225.046	3.333	1.637	1
246.402	3.333	2.005	0
249.744	3.333	1.662	1
253.085	3.333	1.853	1
256.426	3.333	1.559	1
259.768	3.333	1.439	1
263.109	3.333	1.703	1
284.466	3.333	2.073	1
287.807	3.333	1.64	1
291.148	3.333	2.458	0
294.49	3.333	1.436	1
297.831	3.333	1.409	1
301.173	3.333	2.026	1
322.529	3.333	1.412	1
325.87	3.333	1.313	1
329.212	3.333	1.759	1
332.553	3.333	1.998	1
335.895	3.333	1.934	1
339.236	3.333	1.905	1
360.593	3.333	1.714	1
363.934	3.333	1.802	1
367.275	3.333	2.381	1
370.617	3.333	2.327	1
373.958	3.333	2.16	1
377.299	3.333	1.963	1
398.656	3.333	1.63	0
401.997	3.333	1.403	1
405.339	3.333	1.636	1
408.68	3.333	1.165	1
412.021	3.333	1.372	1
415.363	3.333	2.627	1
436.719	3.333	1.707	1
440.061	3.333	2.271	0
443.402	3.333	1.577	1
446.743	3.333	1.677	1
450.085	3.333	1.771	1
453.426	3.333	2.009	1
