onset	duration	RT	accuracy
18.024	3.333	1.773	1
21.365	3.333	0.983	1
24.707	3.333	0.935	1
28.048	3.333	0.634	1
31.389	3.333	0.735	1
34.731	3.333	0.821	1
56.087	3.333	0.94	1
59.429	3.333	0.74	1
62.77	3.333	0.652	1
66.111	3.333	0.94	1
69.453	3.333	0.718	1
72.794	3.333	0.824	1
94.151	3.333	1.21	1
97.492	3.333	0.919	1
100.833	3.333	0.862	1
104.175	3.333	0.976	1
107.516	3.333	0.64	1
110.858	3.333	1	1
132.214	3.333	1.364	1
135.556	3.333	0.644	1
138.897	3.333	0.794	1
142.238	3.333	0.746	1
145.58	3.333	0.738	1
148.921	3.333	0.689	1
170.278	3.333	0.806	1
173.619	3.333	0.897	1
176.96	3.333	0.972	1
180.302	3.333	0.839	1
183.643	3.333	0.966	1
186.985	3.333	0.802	1
208.341	3.333	0.954	1
211.682	3.333	0.671	1
215.024	3.333	0.738	1
218.365	3.333	NaN	NaN
221.707	3.333	0.927	1
225.048	3.333	1.141	1
246.404	3.333	1.03	1
249.746	3.333	1.036	1
253.087	3.333	0.748	1
256.428	3.333	0.598	1
259.77	3.333	0.939	1
263.111	3.333	0.865	1
284.468	3.333	0.729	1
287.809	3.333	0.773	1
291.15	3.333	0.781	1
294.492	3.333	0.903	1
297.833	3.333	0.629	1
301.175	3.333	0.668	1
322.531	3.333	0.672	1
325.873	3.333	0.663	1
329.214	3.333	0.888	1
332.555	3.333	0.914	1
335.897	3.333	0.619	1
339.238	3.333	0.842	1
360.595	3.333	1.026	1
363.936	3.333	0.784	1
367.277	3.333	0.787	1
370.619	3.333	0.814	1
373.96	3.333	0.749	1
377.302	3.333	1.439	1
398.658	3.333	1.06	1
401.999	3.333	0.764	1
405.341	3.333	0.647	1
408.682	3.333	0.856	1
412.024	3.333	0.713	1
415.365	3.333	0.659	1
436.721	3.333	0.581	1
440.063	3.333	0.681	1
443.404	3.333	0.82	1
446.746	3.333	0.747	1
450.087	3.333	0.92	1
453.428	3.333	1.328	1
