onset	duration	RT	accuracy
18.024	3.333	2.71	1
21.363	3.333	2.817	1
24.701	3.333	3.002	1
28.04	3.333	2.023	1
31.379	3.333	1.466	1
34.718	3.333	2.386	1
56.069	3.333	2.168	1
59.407	3.333	2.062	1
62.746	3.333	2.401	1
66.085	3.333	1.795	1
69.423	3.333	2.577	1
72.762	3.333	2.075	1
94.113	3.333	2.624	1
97.452	3.333	NaN	NaN
100.79	3.333	0.015	0
104.129	3.333	2.22	1
107.468	3.333	1.906	1
110.806	3.333	1.927	1
132.157	3.333	2.091	1
135.496	3.333	2.542	1
138.835	3.333	2.244	1
142.173	3.333	2.164	1
145.512	3.333	1.895	1
148.851	3.333	2.778	1
170.202	3.333	2.732	1
173.54	3.333	2.399	0
176.879	3.333	2.663	1
180.218	3.333	1.665	1
183.557	3.333	NaN	NaN
186.895	3.333	0.143	0
208.246	3.333	2.408	1
211.585	3.333	2.665	1
214.924	3.333	1.71	1
218.262	3.333	1.942	1
221.601	3.333	1.909	1
224.94	3.333	2.451	0
246.291	3.333	2.099	1
249.629	3.333	2.082	1
252.968	3.333	2.039	1
256.307	3.333	2.673	1
259.645	3.333	2.532	1
262.984	3.333	1.873	1
284.335	3.333	2.222	1
287.674	3.333	1.73	1
291.012	3.333	2.298	1
294.351	3.333	2.046	1
297.69	3.333	1.52	1
301.029	3.333	1.804	1
322.379	3.333	2.008	1
325.718	3.333	2.552	1
329.057	3.333	2.138	1
332.396	3.333	2.095	0
335.734	3.333	1.956	0
339.073	3.333	2.026	1
360.424	3.333	2.462	1
363.763	3.333	1.785	1
367.101	3.333	2.25	1
370.44	3.333	1.845	1
373.779	3.333	1.787	1
377.117	3.333	1.645	1
398.468	3.333	1.555	1
401.807	3.333	2.196	1
405.146	3.333	1.72	1
408.484	3.333	1.804	1
411.823	3.333	2.225	0
415.162	3.333	1.705	1
436.513	3.333	1.774	1
439.851	3.333	2.345	0
443.19	3.333	2.614	1
446.529	3.333	1.924	1
449.868	3.333	2.743	1
453.206	3.333	2.097	1
