onset	duration	RT	accuracy
18.021	3.333	0.991	1
21.363	3.333	0.843	1
24.704	3.333	0.85	1
28.046	3.333	0.835	1
31.387	3.333	0.754	1
34.728	3.333	0.74	1
56.085	3.333	1.158	1
59.426	3.333	1.099	1
62.768	3.333	0.885	1
66.109	3.333	0.017	0
69.45	3.333	0.872	1
72.792	3.333	0.745	1
94.148	3.333	0.786	1
97.49	3.333	0.781	1
100.831	3.333	0.685	1
104.172	3.333	1.157	1
107.514	3.333	0.725	1
110.855	3.333	0.789	1
132.212	3.333	0.02	0
135.553	3.333	0.021	0
138.894	3.333	0.017	1
142.236	3.333	0.921	1
145.577	3.333	0.812	1
148.918	3.333	0.787	1
170.275	3.333	1.345	1
173.616	3.333	1.349	1
176.958	3.333	0.816	1
180.299	3.333	0.887	1
183.641	3.333	0.894	1
186.982	3.333	0.864	1
208.338	3.333	0.931	1
211.68	3.333	0.909	1
215.021	3.333	0.793	1
218.363	3.333	0.964	1
221.704	3.333	1.284	1
225.045	3.333	0.831	1
246.402	3.333	0.926	1
249.743	3.333	0.783	1
253.085	3.333	0.782	1
256.426	3.333	0.787	1
259.767	3.333	0.896	1
263.109	3.333	0.848	1
284.465	3.333	0.817	1
287.806	3.333	1.013	1
291.148	3.333	0.852	1
294.489	3.333	0.776	1
297.831	3.333	0.771	1
301.172	3.333	0.896	1
322.529	3.333	0.806	1
325.87	3.333	1.024	1
329.211	3.333	1.163	0
332.553	3.333	0.707	1
335.894	3.333	0.715	1
339.235	3.333	0.854	1
360.592	3.333	0.857	1
363.933	3.333	0.759	1
367.275	3.333	0.822	1
370.616	3.333	1.022	1
373.957	3.333	0.818	1
377.299	3.333	0.821	1
398.655	3.333	0.865	1
401.997	3.333	0.796	1
405.338	3.333	0.898	1
408.679	3.333	0.771	1
412.021	3.333	0.638	1
415.362	3.333	0.875	1
436.719	3.333	0.671	1
440.06	3.333	0.786	1
443.401	3.333	0.928	1
446.743	3.333	0.727	1
450.084	3.333	0.805	1
453.426	3.333	1.106	1
