onset	duration	RT	accuracy
18.232	6.7	0.604	1
24.907	6.7	0.791	0
31.581	6.7	0.231	1
56.479	6.7	0.43	1
63.154	6.7	0.249	1
69.828	6.7	0.195	1
94.726	6.7	0.723	1
101.4	6.7	0.414	1
108.075	6.7	0.281	1
132.973	6.7	0.22	1
139.647	6.7	0.624	1
146.322	6.7	0.203	1
171.22	6.7	0.504	1
177.894	6.7	0.41	1
184.569	6.7	0.277	1
209.466	6.7	0.611	1
216.141	6.7	0.22	1
222.815	6.7	0.213	1
247.713	6.7	0.328	1
254.388	6.7	0.368	1
261.062	6.7	0.349	1
285.96	6.7	0.195	1
292.635	6.7	0.197	1
299.309	6.7	0.51	0
324.207	6.7	0.258	1
330.881	6.7	0.405	1
337.556	6.7	0.566	1
362.454	6.7	0.316	0
369.128	6.7	0.091	1
375.802	6.7	0.366	1
400.7	6.7	0.676	1
407.375	6.7	0.311	1
414.049	6.7	0.281	1
438.947	6.7	0.651	1
445.622	6.7	0.246	1
452.296	6.7	0.126	1
