onset	duration	RT	accuracy
18.024	3.333	1.476	1
21.365	3.333	1.147	1
24.707	3.333	1.268	1
28.048	3.333	1.066	1
31.39	3.333	1.803	1
34.731	3.333	1.945	1
56.088	3.333	1.599	1
59.429	3.333	1.965	0
62.77	3.333	1.179	0
66.112	3.333	1.407	1
69.453	3.333	1.669	1
72.794	3.333	1.726	1
94.151	3.333	1.394	1
97.492	3.333	1.07	1
100.834	3.333	1.218	1
104.175	3.333	1.412	1
107.517	3.333	1.666	1
110.858	3.333	1.008	1
132.215	3.333	1.454	1
135.556	3.333	1.103	1
138.897	3.333	1.648	1
142.239	3.333	0.912	1
145.58	3.333	1.085	1
148.921	3.333	1.076	1
170.278	3.333	1.577	1
173.619	3.333	1.456	1
176.961	3.333	1.537	1
180.302	3.333	1.892	1
183.644	3.333	0.915	1
186.985	3.333	1.478	1
208.341	3.333	1.578	1
211.683	3.333	1.023	1
215.024	3.333	1.548	1
218.366	3.333	1.117	1
221.707	3.333	1.231	1
225.048	3.333	1.154	1
246.405	3.333	0.967	1
249.746	3.333	1.361	1
253.088	3.333	1.584	1
256.429	3.333	1.375	1
259.77	3.333	1.006	1
263.112	3.333	1.625	1
284.468	3.333	1.58	1
287.81	3.333	1.288	1
291.151	3.333	0.947	1
294.492	3.333	1.423	1
297.834	3.333	0.948	1
301.175	3.333	1.288	1
322.532	3.333	1.295	1
325.873	3.333	0.972	1
329.214	3.333	1.004	1
332.556	3.333	1.214	1
335.897	3.333	1.229	1
339.239	3.333	1.517	1
360.595	3.333	1.679	1
363.936	3.333	1.391	1
367.278	3.333	1.13	1
370.619	3.333	1.237	1
373.961	3.333	1.185	1
377.302	3.333	0.899	1
398.659	3.333	1.121	1
402	3.333	1.428	1
405.341	3.333	1.133	1
408.683	3.333	1.088	1
412.024	3.333	0.954	1
415.366	3.333	1.41	1
436.722	3.333	1.193	1
440.063	3.333	1.602	0
443.405	3.333	1.305	0
446.746	3.333	1.187	1
450.087	3.333	0.973	1
453.429	3.333	1.984	1
