onset	duration	RT	accuracy
18.233	6.7	0.365	1
24.907	6.7	0.258	1
31.581	6.7	0.236	1
56.479	6.7	0.39	1
63.154	6.7	0.212	1
69.828	6.7	0.21	1
94.726	6.7	0.304	1
101.4	6.7	0.336	1
108.075	6.7	0.215	1
132.973	6.7	0.5	1
139.647	6.7	0.708	0
146.322	6.7	0.505	1
171.22	6.7	0.31	1
177.894	6.7	0.176	1
184.568	6.7	0.222	1
209.466	6.7	0.317	1
216.141	6.7	0.24	1
222.815	6.7	0.225	1
247.713	6.7	0.237	1
254.387	6.7	0.313	1
261.062	6.7	0.179	1
285.96	6.7	0.765	0
292.634	6.7	0.313	1
299.309	6.7	0.545	1
324.207	6.7	0.229	1
330.881	6.7	0.566	1
337.555	6.7	0.331	1
362.453	6.7	0.296	1
369.128	6.7	0.299	0
375.802	6.7	0.257	1
400.7	6.7	0.368	1
407.375	6.7	0.503	1
414.049	6.7	0.273	1
438.947	6.7	0.165	1
445.621	6.7	0.243	1
452.296	6.7	0.319	1
