onset	duration	RT	accuracy
18.226	6.7	0.334	1
24.836	6.7	0.285	1
31.447	6.7	0.122	1
56.27	6.7	0.385	1
62.897	6.7	0.189	1
69.508	6.7	0.419	1
94.331	6.7	0.296	1
100.958	6.7	NaN	NaN
107.568	6.7	0.141	1
132.408	6.7	0.272	1
139.019	6.7	0.205	0
145.629	6.7	0.154	1
170.452	6.7	0.097	0
177.063	6.7	0.265	1
183.69	6.7	0.133	1
208.53	6.7	0.188	1
215.157	6.7	NaN	NaN
221.768	6.7	0.029	1
246.591	6.7	0.588	0
253.202	6.7	NaN	NaN
259.812	6.7	0.114	1
284.635	6.7	0.042	1
291.246	6.7	NaN	NaN
297.857	6.7	0.116	0
322.696	6.7	0.074	1
329.307	6.7	0.675	1
335.918	6.7	0.014	1
360.758	6.7	0.483	0
367.385	6.7	NaN	NaN
373.995	6.7	0.142	1
398.835	6.7	0.339	1
405.446	6.7	0.478	0
412.057	6.7	NaN	NaN
436.88	6.7	NaN	NaN
443.49	6.7	0.073	1
450.101	6.7	0.768	1
