onset	duration	RT	accuracy
18.026	3.333	0.888	1
21.364	3.333	0.874	1
24.703	3.333	1.032	1
28.042	3.333	0.661	1
31.38	3.333	0.619	1
34.719	3.333	0.597	1
56.07	3.333	0.642	1
59.409	3.333	0.726	1
62.747	3.333	0.671	1
66.086	3.333	0.808	1
69.425	3.333	0.718	1
72.764	3.333	0.729	1
94.115	3.333	0.635	1
97.453	3.333	0.73	1
100.792	3.333	0.603	1
104.131	3.333	0.755	1
107.469	3.333	0.584	1
110.808	3.333	0.704	1
132.159	3.333	0.762	1
135.498	3.333	0.604	1
138.836	3.333	0.76	1
142.175	3.333	0.744	1
145.514	3.333	0.662	1
148.853	3.333	0.635	1
170.204	3.333	0.684	1
173.542	3.333	0.925	1
176.881	3.333	0.715	1
180.22	3.333	0.63	1
183.558	3.333	0.811	1
186.897	3.333	0.706	1
208.248	3.333	0.67	1
211.587	3.333	0.674	1
214.925	3.333	0.826	1
218.264	3.333	0.747	1
221.603	3.333	0.75	1
224.942	3.333	0.79	1
246.293	3.333	0.834	1
249.631	3.333	0.738	1
252.97	3.333	0.804	1
256.309	3.333	0.614	1
259.647	3.333	0.632	1
262.986	3.333	0.745	1
284.337	3.333	0.697	1
287.676	3.333	0.717	1
291.014	3.333	0.771	1
294.353	3.333	0.74	1
297.692	3.333	0.706	1
301.031	3.333	0.81	1
322.382	3.333	0.886	1
325.72	3.333	0.777	1
329.059	3.333	0.73	1
332.398	3.333	0.716	1
335.736	3.333	0.753	1
339.075	3.333	0.927	1
360.426	3.333	0.819	1
363.765	3.333	0.695	1
367.103	3.333	0.683	1
370.442	3.333	0.906	1
373.781	3.333	0.76	1
377.12	3.333	0.681	1
398.471	3.333	0.807	1
401.809	3.333	0.76	1
405.148	3.333	0.793	1
408.487	3.333	0.75	1
411.825	3.333	0.606	1
415.164	3.333	0.648	1
436.515	3.333	0.655	1
439.854	3.333	0.612	1
443.193	3.333	0.801	1
446.531	3.333	0.781	1
449.87	3.333	0.645	1
453.209	3.333	0.877	0
