onset	duration	RT	accuracy
18.029	3.333	0.977	1
21.367	3.333	0.738	1
24.706	3.333	0.786	1
28.044	3.333	0.628	1
31.383	3.333	0.648	1
34.721	3.333	0.606	1
56.072	3.333	0.774	1
59.41	3.333	0.689	1
62.749	3.333	0.605	1
66.087	3.333	0.812	1
69.426	3.333	0.985	1
72.765	3.333	0.722	1
94.115	3.333	0.568	1
97.453	3.333	0.665	1
100.792	3.333	0.589	1
104.131	3.333	0.631	1
107.469	3.333	0.651	1
110.808	3.333	0.589	1
132.158	3.333	0.596	1
135.497	3.333	0.496	1
138.835	3.333	0.712	1
142.174	3.333	0.514	1
145.513	3.333	0.746	1
148.851	3.333	0.656	1
170.202	3.333	0.458	1
173.54	3.333	0.707	1
176.879	3.333	0.605	1
180.217	3.333	0.624	1
183.556	3.333	0.631	1
186.895	3.333	0.823	1
208.245	3.333	0.68	1
211.584	3.333	0.558	1
214.922	3.333	0.699	1
218.261	3.333	0.782	1
221.6	3.333	0.64	1
224.938	3.333	0.561	1
246.289	3.333	0.756	1
249.627	3.333	0.548	1
252.966	3.333	0.729	1
256.305	3.333	0.617	1
259.643	3.333	0.534	1
262.982	3.333	0.677	1
284.333	3.333	0.657	1
287.671	3.333	0.559	1
291.01	3.333	0.62	1
294.349	3.333	0.656	1
297.687	3.333	0.65	1
301.026	3.333	0.853	1
322.376	3.333	0.61	1
325.715	3.333	0.582	1
329.054	3.333	0.75	0
332.392	3.333	0.852	1
335.731	3.333	0.558	1
339.07	3.333	1.023	1
360.42	3.333	0.754	1
363.759	3.333	0.89	1
367.098	3.333	0.721	1
370.436	3.333	0.971	1
373.775	3.333	0.647	1
377.114	3.333	0.585	1
398.464	3.333	0.649	1
401.803	3.333	0.626	1
405.142	3.333	0.624	1
408.48	3.333	0.65	0
411.819	3.333	0.663	1
415.158	3.333	0.531	1
436.509	3.333	0.732	1
439.847	3.333	0.601	1
443.186	3.333	0.874	1
446.525	3.333	0.687	1
449.863	3.333	0.479	1
453.202	3.333	0.602	0
