onset	duration	RT	accuracy
18.022	3.333	1.019	1
21.364	3.333	0.915	1
24.705	3.333	0.818	1
28.047	3.333	0.716	1
31.388	3.333	0.691	1
34.729	3.333	0.727	1
56.086	3.333	0.773	1
59.427	3.333	0.755	1
62.769	3.333	0.673	1
66.11	3.333	0.999	1
69.452	3.333	0.647	1
72.793	3.333	0.85	1
94.149	3.333	0.759	1
97.491	3.333	0.667	1
100.832	3.333	0.792	1
104.174	3.333	0.789	1
107.515	3.333	1.081	1
110.856	3.333	1.482	0
132.213	3.333	0.933	1
135.554	3.333	0.647	1
138.896	3.333	1.14	1
142.237	3.333	0.824	1
145.578	3.333	1.462	1
148.92	3.333	0.9	1
170.276	3.333	1.226	1
173.618	3.333	0.861	1
176.959	3.333	1.062	1
180.3	3.333	0.743	1
183.642	3.333	0.867	1
186.983	3.333	0.932	1
208.34	3.333	0.919	1
211.681	3.333	0.784	1
215.022	3.333	0.782	1
218.364	3.333	1.077	1
221.705	3.333	0.825	1
225.047	3.333	0.9	1
246.403	3.333	1.372	1
249.744	3.333	0.73	1
253.086	3.333	0.719	1
256.427	3.333	0.714	1
259.769	3.333	1.023	1
263.11	3.333	2.094	1
284.466	3.333	0.836	1
287.808	3.333	0.689	1
291.149	3.333	0.635	1
294.491	3.333	0.763	1
297.832	3.333	0.882	1
301.173	3.333	0.64	1
322.53	3.333	0.947	1
325.871	3.333	1.006	1
329.213	3.333	0.885	1
332.554	3.333	0.993	1
335.895	3.333	0.754	1
339.237	3.333	1.784	1
360.593	3.333	1.064	1
363.935	3.333	0.986	1
367.276	3.333	1.006	1
370.617	3.333	0.88	1
373.959	3.333	0.931	1
377.3	3.333	1.068	1
398.657	3.333	0.93	1
401.998	3.333	1.134	1
405.34	3.333	1.051	1
408.681	3.333	0.878	1
412.022	3.333	0.646	1
415.364	3.333	0.814	1
436.72	3.333	0.695	1
440.062	3.333	0.704	1
443.403	3.333	0.84	1
446.744	3.333	1.063	1
450.086	3.333	0.69	1
453.427	3.333	1.263	1
