onset	duration	RT	accuracy
18.027	3.333	1.018	1
21.366	3.333	1.025	1
24.705	3.333	1.019	1
28.043	3.333	0.817	1
31.382	3.333	0.933	1
34.721	3.333	1.012	1
56.072	3.333	1.007	1
59.41	3.333	1.05	1
62.749	3.333	0.919	1
66.088	3.333	0.805	1
69.426	3.333	1.184	1
72.765	3.333	1.065	1
94.116	3.333	0.994	1
97.455	3.333	0.763	1
100.794	3.333	1.043	1
104.132	3.333	0.966	1
107.471	3.333	0.783	1
110.81	3.333	1.01	1
132.161	3.333	1.026	1
135.499	3.333	1.021	1
138.838	3.333	1.076	1
142.177	3.333	0.82	1
145.515	3.333	1.622	1
148.854	3.333	0.936	1
170.205	3.333	1.425	1
173.544	3.333	1.339	1
176.882	3.333	1.767	1
180.221	3.333	1.269	1
183.56	3.333	1.242	1
186.899	3.333	1.235	1
208.249	3.333	0.965	1
211.588	3.333	0.86	1
214.927	3.333	1.051	1
218.266	3.333	1.26	1
221.604	3.333	0.88	1
224.943	3.333	0.939	1
246.294	3.333	1.136	1
249.633	3.333	0.819	1
252.971	3.333	1.097	1
256.31	3.333	0.796	1
259.649	3.333	0.958	1
262.987	3.333	0.96	1
284.338	3.333	0.983	1
287.677	3.333	0.856	1
291.016	3.333	1.094	1
294.354	3.333	1.208	1
297.693	3.333	0.886	1
301.032	3.333	1.614	1
322.383	3.333	1.067	1
325.722	3.333	0.76	1
329.06	3.333	1.09	1
332.399	3.333	1.219	1
335.738	3.333	0.822	1
339.076	3.333	1.01	1
360.427	3.333	0.96	1
363.766	3.333	1.032	1
367.105	3.333	0.885	1
370.443	3.333	0.94	1
373.782	3.333	0.787	1
377.121	3.333	0.762	1
398.472	3.333	1.028	1
401.811	3.333	0.992	1
405.149	3.333	0.815	1
408.488	3.333	0.806	1
411.827	3.333	0.777	1
415.165	3.333	0.766	1
436.516	3.333	1.024	1
439.855	3.333	0.835	1
443.194	3.333	0.733	1
446.532	3.333	0.844	1
449.871	3.333	0.849	1
453.21	3.333	0.845	1
