onset	duration	RT	accuracy
18.235	6.7	0.37	1
24.909	6.7	0.624	1
31.583	6.7	0.293	1
56.481	6.7	0.347	1
63.156	6.7	0.325	1
69.83	6.7	0.326	1
94.728	6.7	0.512	1
101.403	6.7	0.442	1
108.077	6.7	0.173	1
132.975	6.7	0.365	1
139.649	6.7	0.722	1
146.324	6.7	0.256	1
171.222	6.7	0.424	1
177.896	6.7	0.376	1
184.571	6.7	0.223	1
209.469	6.7	0.517	1
216.143	6.7	0.278	1
222.817	6.7	0.232	1
247.715	6.7	NaN	NaN
254.39	6.7	0.001	1
261.064	6.7	0.163	1
285.962	6.7	0.736	1
292.636	6.7	0.239	1
299.311	6.7	0.413	1
324.209	6.7	0.63	1
330.883	6.7	0.613	1
337.558	6.7	0.21	1
362.456	6.7	0.446	1
369.13	6.7	0.217	1
375.805	6.7	0.207	1
400.702	6.7	0.283	0
407.377	6.7	0.303	1
414.051	6.7	0.46	1
438.949	6.7	0.523	1
445.624	6.7	0.23	1
452.298	6.7	0.482	0
