onset	duration	type
18.027	14	gen
32.027	6	report
56.055	14	gen
70.055	6	report
94.083	14	gen
108.083	6	report
132.11	14	gen
146.11	6	report
170.138	14	gen
184.138	6	report
208.166	14	gen
222.166	6	report
246.194	14	gen
260.194	6	report
284.221	14	gen
298.221	6	report
322.249	14	gen
336.249	6	report
360.277	14	gen
374.277	6	report
398.305	14	gen
412.305	6	report
436.333	14	gen
450.333	6	report
