onset	duration	RT	accuracy
18.022	3.333	0.941	1
21.363	3.333	0.716	1
24.705	3.333	0.817	1
28.046	3.333	0.843	1
31.387	3.333	0.727	1
34.729	3.333	0.697	1
56.085	3.333	0.67	1
59.427	3.333	0.823	1
62.768	3.333	0.715	1
66.109	3.333	1.109	1
69.451	3.333	0.86	1
72.792	3.333	0.771	1
94.149	3.333	0.718	1
97.49	3.333	0.728	1
100.831	3.333	0.678	1
104.173	3.333	0.682	1
107.514	3.333	0.639	1
110.856	3.333	0.836	1
132.212	3.333	0.813	1
135.553	3.333	0.655	1
138.895	3.333	0.867	1
142.236	3.333	0.724	1
145.577	3.333	0.704	1
148.919	3.333	0.708	1
170.276	3.333	0.843	1
173.617	3.333	0.851	1
176.958	3.333	1.201	1
180.3	3.333	0.811	1
183.641	3.333	0.729	1
186.982	3.333	0.993	1
208.339	3.333	0.813	1
211.68	3.333	0.582	1
215.022	3.333	0.818	1
218.363	3.333	1.025	1
221.704	3.333	0.769	1
225.046	3.333	0.809	1
246.402	3.333	0.699	1
249.744	3.333	0.733	1
253.085	3.333	0.885	1
256.426	3.333	0.619	1
259.768	3.333	0.745	1
263.109	3.333	0.862	1
284.466	3.333	0.697	1
287.807	3.333	0.515	1
291.149	3.333	1.18	1
294.49	3.333	0.865	1
297.831	3.333	0.645	1
301.173	3.333	0.736	1
322.529	3.333	0.667	1
325.871	3.333	0.623	1
329.212	3.333	0.82	1
332.553	3.333	0.941	1
335.895	3.333	0.866	1
339.236	3.333	0.789	1
360.593	3.333	0.936	1
363.934	3.333	0.746	1
367.275	3.333	0.887	1
370.617	3.333	0.949	1
373.958	3.333	0.851	1
377.3	3.333	0.757	1
398.656	3.333	0.635	1
401.998	3.333	0.753	1
405.339	3.333	0.742	1
408.68	3.333	0.719	1
412.022	3.333	0.795	1
415.363	3.333	0.73	1
436.72	3.333	0.649	1
440.061	3.333	1.06	1
443.402	3.333	0.665	1
446.744	3.333	1.006	1
450.085	3.333	0.753	1
453.426	3.333	0.971	1
