onset	duration	RT	accuracy
18.032	3.333	2.618	1
21.37	3.333	2.728	1
24.709	3.333	2.272	1
28.048	3.333	2.601	1
31.386	3.333	1.945	1
34.725	3.333	2.78	1
56.076	3.333	2.649	1
59.414	3.333	2.383	1
62.753	3.333	2.841	1
66.092	3.333	2.954	0
69.43	3.333	NaN	NaN
72.769	3.333	0.24	1
94.12	3.333	3.066	1
97.459	3.333	3.107	0
100.797	3.333	3.084	1
104.136	3.333	NaN	NaN
107.475	3.333	0.075	0
110.813	3.333	2.436	1
132.164	3.333	2.614	1
135.503	3.333	3.108	1
138.842	3.333	2.712	1
142.18	3.333	2.572	1
145.519	3.333	2.875	1
148.858	3.333	3.221	1
170.208	3.333	NaN	NaN
173.547	3.333	3.244	0
176.886	3.333	3.169	1
180.224	3.333	2.382	0
183.563	3.333	2.728	1
186.902	3.333	1.616	1
208.253	3.333	NaN	NaN
211.591	3.333	0.171	1
214.93	3.333	2.938	1
218.269	3.333	2.998	1
221.607	3.333	2.5	1
224.946	3.333	2.336	1
246.297	3.333	2.935	1
249.636	3.333	2.567	0
252.974	3.333	2.701	1
256.313	3.333	3.132	1
259.652	3.333	2.998	1
262.991	3.333	2.797	1
284.341	3.333	3.133	1
287.68	3.333	2.599	1
291.019	3.333	2.454	1
294.358	3.333	2.544	1
297.696	3.333	2.195	1
301.035	3.333	2.279	1
322.386	3.333	2.888	0
325.725	3.333	3.309	1
329.063	3.333	2.566	1
332.402	3.333	3.047	1
335.741	3.333	2.294	1
339.079	3.333	2.121	1
360.43	3.333	3.094	1
363.769	3.333	2.759	1
367.108	3.333	2.215	1
370.446	3.333	1.683	1
373.785	3.333	2.134	1
377.124	3.333	2.081	1
398.475	3.333	2.827	1
401.813	3.333	2.652	1
405.152	3.333	2.432	1
408.491	3.333	2.306	1
411.829	3.333	2.611	0
415.168	3.333	2.38	1
436.519	3.333	3.206	1
439.858	3.333	2.833	1
443.197	3.333	3.261	0
446.535	3.333	0.175	0
449.874	3.333	2.14	1
453.213	3.333	1.926	1
