onset	duration	type
18.017	14	gen
32.017	6	report
56.045	14	gen
70.045	6	report
94.073	14	gen
108.073	6	report
132.101	14	gen
146.101	6	report
170.129	14	gen
184.129	6	report
208.157	14	gen
222.157	6	report
246.185	14	gen
260.185	6	report
284.212	14	gen
298.212	6	report
322.24	14	gen
336.24	6	report
360.268	14	gen
374.268	6	report
398.296	14	gen
412.296	6	report
436.324	14	gen
450.324	6	report
