onset	duration	RT	accuracy
18.018	3.333	1.947	1
21.357	3.333	2.747	1
24.695	3.333	1.93	1
28.034	3.333	2.237	1
31.373	3.333	1.604	1
34.711	3.333	2.098	1
56.062	3.333	1.556	1
59.401	3.333	1.639	1
62.74	3.333	2.129	1
66.078	3.333	2.172	1
69.417	3.333	2.377	1
72.756	3.333	2.538	1
94.107	3.333	2.152	1
97.445	3.333	2.419	1
100.784	3.333	2.479	1
104.123	3.333	2.323	1
107.462	3.333	1.832	1
110.8	3.333	2.031	1
132.151	3.333	2.223	1
135.49	3.333	3.09	1
138.829	3.333	1.935	1
142.167	3.333	2.246	1
145.506	3.333	1.866	1
148.845	3.333	2.559	1
170.196	3.333	2.056	1
173.534	3.333	2.029	1
176.873	3.333	2.179	1
180.212	3.333	1.487	1
183.55	3.333	2.198	1
186.889	3.333	1.431	1
208.24	3.333	2.368	1
211.579	3.333	2.395	1
214.917	3.333	1.594	1
218.256	3.333	2.171	1
221.595	3.333	1.69	1
224.933	3.333	1.902	1
246.284	3.333	1.808	1
249.623	3.333	1.897	1
252.962	3.333	2.101	1
256.301	3.333	2.495	1
259.639	3.333	2.06	1
262.978	3.333	1.981	1
284.329	3.333	2.087	1
287.668	3.333	1.489	1
291.006	3.333	2.287	1
294.345	3.333	1.939	1
297.684	3.333	1.667	1
301.022	3.333	1.542	1
322.373	3.333	1.622	1
325.712	3.333	2.015	1
329.051	3.333	1.663	1
332.39	3.333	2.906	1
335.728	3.333	1.755	1
339.067	3.333	1.772	1
360.418	3.333	2.23	1
363.757	3.333	1.615	1
367.095	3.333	1.693	1
370.434	3.333	2.114	1
373.773	3.333	1.602	1
377.112	3.333	1.5	1
398.463	3.333	1.749	1
401.801	3.333	1.255	1
405.14	3.333	1.592	1
408.479	3.333	1.677	1
411.817	3.333	2.185	0
415.156	3.333	1.585	1
436.507	3.333	1.565	1
439.846	3.333	2.358	1
443.184	3.333	1.908	1
446.523	3.333	2.096	1
449.862	3.333	1.741	1
453.201	3.333	2.737	1
