onset	duration	RT	accuracy
18.03	3.333	1.847	1
21.369	3.333	1.225	1
24.707	3.333	1.2	1
28.046	3.333	1.573	0
31.384	3.333	NaN	NaN
34.723	3.333	0.036	1
56.074	3.333	1.424	1
59.413	3.333	2.583	0
62.751	3.333	1.547	0
66.09	3.333	0.971	1
69.428	3.333	1.325	1
72.767	3.333	2.043	1
94.118	3.333	2.031	1
97.457	3.333	1.05	1
100.795	3.333	1.728	1
104.134	3.333	1.833	1
107.473	3.333	1.415	1
110.811	3.333	1.46	1
132.162	3.333	1.584	1
135.501	3.333	1.55	1
138.839	3.333	2.602	0
142.178	3.333	1.89	1
145.517	3.333	1	1
148.855	3.333	3.305	1
170.206	3.333	1.578	1
173.545	3.333	1.633	1
176.884	3.333	1.473	1
180.222	3.333	1.361	0
183.561	3.333	1.596	1
186.9	3.333	2.135	0
208.25	3.333	2.441	1
211.589	3.333	1.407	1
214.928	3.333	2.472	1
218.266	3.333	1.918	0
221.605	3.333	1.359	1
224.944	3.333	1.639	1
246.295	3.333	1.122	1
249.633	3.333	1.302	1
252.972	3.333	1.811	1
256.311	3.333	1.783	1
259.649	3.333	1.139	1
262.988	3.333	1.63	1
284.339	3.333	1.682	1
287.678	3.333	1.582	1
291.016	3.333	2.384	0
294.355	3.333	1.873	1
297.694	3.333	1.627	1
301.033	3.333	1.017	1
322.383	3.333	1.19	1
325.722	3.333	1.231	1
329.061	3.333	1.636	1
332.4	3.333	1.151	1
335.738	3.333	1.102	1
339.077	3.333	1.968	1
360.428	3.333	1.761	1
363.767	3.333	1.623	1
367.105	3.333	1.365	1
370.444	3.333	1.316	1
373.783	3.333	2.004	1
377.121	3.333	1.39	1
398.472	3.333	0.998	1
401.811	3.333	1.169	1
405.15	3.333	1.743	1
408.488	3.333	1.786	1
411.827	3.333	1.326	1
415.166	3.333	1.1	0
436.517	3.333	2.086	1
439.856	3.333	1.553	1
443.194	3.333	1.99	1
446.533	3.333	3.315	1
449.872	3.333	1.146	1
453.21	3.333	2.019	0
