onset	duration	RT	accuracy
18.233	6.7	0.489	1
24.907	6.7	0.442	1
31.581	6.7	0.31	1
56.479	6.7	0.625	0
63.154	6.7	0.411	1
69.828	6.7	0.347	1
94.726	6.7	0.372	1
101.401	6.7	0.289	1
108.075	6.7	0.799	0
132.973	6.7	0.426	1
139.647	6.7	0.417	1
146.322	6.7	0.371	1
171.219	6.7	0.309	1
177.894	6.7	0.278	1
184.568	6.7	0.29	1
209.466	6.7	0.38	1
216.141	6.7	0.549	0
222.815	6.7	0.258	1
247.713	6.7	NaN	NaN
254.387	6.7	0.229	1
261.062	6.7	0.368	1
285.96	6.7	0.348	0
292.634	6.7	0.671	1
299.309	6.7	0.238	1
324.206	6.7	0.375	1
330.881	6.7	0.251	1
337.555	6.7	0.243	1
362.453	6.7	0.697	0
369.128	6.7	0.196	1
375.802	6.7	0.281	0
400.7	6.7	0.242	0
407.375	6.7	0.462	1
414.049	6.7	0.428	1
438.947	6.7	0.189	1
445.621	6.7	0.507	0
452.296	6.7	0.251	1
