onset	duration	RT	accuracy
18.229	6.7	NaN	NaN
24.839	6.7	0.834	1
31.45	6.7	0.209	1
56.273	6.7	0.898	1
62.901	6.7	0.49	1
69.512	6.7	0.18	1
94.335	6.7	0.775	1
100.962	6.7	0.432	0
107.573	6.7	NaN	NaN
132.413	6.7	0.411	1
139.024	6.7	0.504	1
145.634	6.7	0.656	0
170.458	6.7	0.599	1
177.069	6.7	NaN	NaN
183.696	6.7	0.63	1
208.536	6.7	0.468	1
215.164	6.7	NaN	NaN
221.774	6.7	0.969	1
246.598	6.7	0.593	0
253.208	6.7	0.176	1
259.819	6.7	0.7	1
284.643	6.7	0.741	1
291.253	6.7	NaN	NaN
297.864	6.7	0.851	1
322.704	6.7	0.322	1
329.315	6.7	0.806	0
335.926	6.7	0.973	1
360.766	6.7	NaN	NaN
367.393	6.7	0.299	0
374.004	6.7	0.451	1
398.844	6.7	0.385	1
405.455	6.7	0.362	0
412.066	6.7	0.115	1
436.889	6.7	0.278	0
443.5	6.7	0.445	1
450.111	6.7	0.733	0
