onset	duration	RT	accuracy
18.237	6.7	0.253	1
24.911	6.7	0.43	1
31.586	6.7	0.32	1
56.483	6.7	0.439	1
63.158	6.7	0.285	1
69.832	6.7	0.274	1
94.73	6.7	0.342	1
101.405	6.7	0.804	1
108.079	6.7	0.384	1
132.977	6.7	NaN	NaN
139.652	6.7	0.278	1
146.326	6.7	0.691	1
171.224	6.7	0.271	1
177.898	6.7	0.401	1
184.573	6.7	0.306	1
209.471	6.7	0.298	1
216.145	6.7	0.494	1
222.82	6.7	0.267	1
247.717	6.7	0.376	1
254.392	6.7	0.257	1
261.066	6.7	NaN	NaN
285.964	6.7	NaN	NaN
292.639	6.7	0.182	1
299.313	6.7	0.385	1
324.211	6.7	0.384	1
330.885	6.7	0.23	1
337.56	6.7	NaN	NaN
362.458	6.7	0.297	1
369.132	6.7	0.414	1
375.807	6.7	0.536	1
400.705	6.7	NaN	NaN
407.379	6.7	NaN	NaN
414.054	6.7	0.231	1
438.952	6.7	0.295	0
445.626	6.7	NaN	NaN
452.3	6.7	0.91	0
