onset	duration	RT	accuracy
18.025	3.333	2.849	1
21.364	3.333	2.232	1
24.703	3.333	1.853	1
28.042	3.333	2.586	1
31.38	3.333	1.494	0
34.719	3.333	2.28	1
56.07	3.333	2.072	1
59.409	3.333	1.987	1
62.747	3.333	2.343	1
66.086	3.333	1.842	1
69.425	3.333	2.439	1
72.763	3.333	2.37	1
94.114	3.333	1.884	1
97.453	3.333	2.668	1
100.792	3.333	2.393	1
104.13	3.333	2.872	1
107.469	3.333	1.758	1
110.808	3.333	2.132	1
132.159	3.333	2.214	1
135.498	3.333	3.299	0
138.836	3.333	2.556	0
142.175	3.333	3.256	1
145.514	3.333	1.916	1
148.852	3.333	2.378	1
170.203	3.333	3.031	1
173.542	3.333	2.304	1
176.881	3.333	2.957	1
180.219	3.333	1.617	1
183.558	3.333	2.118	1
186.897	3.333	1.758	1
208.248	3.333	2.409	1
211.586	3.333	2.438	0
214.925	3.333	1.933	1
218.264	3.333	2.277	1
221.603	3.333	1.858	1
224.941	3.333	2.191	1
246.292	3.333	2.875	1
249.631	3.333	1.915	1
252.97	3.333	2.165	1
256.308	3.333	2.907	1
259.647	3.333	2.133	0
262.986	3.333	1.803	1
284.337	3.333	2.139	1
287.675	3.333	1.729	1
291.014	3.333	2.216	1
294.353	3.333	2.171	0
297.692	3.333	1.65	1
301.03	3.333	2.226	1
322.381	3.333	1.931	1
325.72	3.333	2.518	1
329.059	3.333	1.692	1
332.397	3.333	2.315	1
335.736	3.333	2.335	1
339.075	3.333	2.066	1
360.426	3.333	3.092	1
363.764	3.333	1.833	1
367.103	3.333	1.709	1
370.442	3.333	2.361	1
373.78	3.333	2.197	1
377.119	3.333	1.826	0
398.47	3.333	NaN	NaN
401.809	3.333	2.722	1
405.148	3.333	1.51	1
408.486	3.333	2.426	1
411.825	3.333	2.501	0
415.164	3.333	2.13	1
436.515	3.333	2.909	1
439.853	3.333	2.276	1
443.192	3.333	2.311	1
446.531	3.333	2.14	1
449.869	3.333	1.974	1
453.208	3.333	1.978	1
