onset	duration	RT	accuracy
18.028	3.333	1.603	1
21.367	3.333	1.983	1
24.705	3.333	2.647	1
28.044	3.333	1.674	1
31.383	3.333	2.624	1
34.721	3.333	2.393	1
56.072	3.333	1.942	1
59.411	3.333	2.401	0
62.75	3.333	1.493	0
66.088	3.333	NaN	NaN
69.427	3.333	2.651	1
72.766	3.333	2.617	1
94.117	3.333	1.875	1
97.456	3.333	2.777	1
100.794	3.333	2.759	1
104.133	3.333	3.08	1
107.472	3.333	2.251	1
110.81	3.333	1.422	1
132.161	3.333	2.478	1
135.5	3.333	NaN	NaN
138.839	3.333	3.07	1
142.177	3.333	2.176	0
145.516	3.333	3.05	0
148.855	3.333	2.306	1
170.206	3.333	1.372	1
173.544	3.333	2.295	0
176.883	3.333	1.901	1
180.222	3.333	1.994	0
183.561	3.333	NaN	NaN
186.899	3.333	0.468	0
208.25	3.333	1.516	1
211.589	3.333	1.5	1
214.928	3.333	2.308	1
218.266	3.333	1.156	1
221.605	3.333	1.124	1
224.944	3.333	1.75	1
246.295	3.333	2.339	1
249.633	3.333	2.059	1
252.972	3.333	2.359	1
256.311	3.333	1.918	1
259.649	3.333	2.06	1
262.988	3.333	1.756	1
284.339	3.333	2.598	1
287.678	3.333	1.698	1
291.017	3.333	2.39	0
294.355	3.333	1.423	1
297.694	3.333	2.289	0
301.033	3.333	2.28	1
322.384	3.333	3.036	1
325.722	3.333	1.333	1
329.061	3.333	2.984	1
332.4	3.333	2.71	1
335.738	3.333	2.067	1
339.077	3.333	3.292	1
360.428	3.333	2.059	1
363.767	3.333	2.281	1
367.105	3.333	3.197	1
370.444	3.333	1.72	1
373.783	3.333	2.045	1
377.122	3.333	1.46	1
398.472	3.333	1.472	1
401.811	3.333	1.782	1
405.15	3.333	1.522	1
408.489	3.333	2.22	1
411.827	3.333	2.516	1
415.166	3.333	2.927	1
436.517	3.333	1.7	1
439.856	3.333	2.59	1
443.194	3.333	2.138	1
446.533	3.333	1.944	1
449.872	3.333	1.657	1
453.21	3.333	2.784	0
