onset	duration	RT	accuracy
18.019	3.333	1.933	1
21.36	3.333	2.293	1
24.702	3.333	1.796	1
28.043	3.333	2.443	1
31.384	3.333	1.581	1
34.726	3.333	2.251	1
56.082	3.333	1.389	1
59.424	3.333	2.057	1
62.765	3.333	2.206	1
66.107	3.333	2.185	1
69.448	3.333	2.514	1
72.789	3.333	2.001	1
94.146	3.333	2.238	1
97.487	3.333	2.532	1
100.828	3.333	1.787	1
104.17	3.333	2.413	1
107.511	3.333	1.772	1
110.853	3.333	2.422	1
132.209	3.333	2.078	1
135.551	3.333	2.576	1
138.892	3.333	1.601	1
142.233	3.333	2.425	1
145.575	3.333	2.358	1
148.916	3.333	2.698	1
170.272	3.333	2.836	1
173.614	3.333	2.853	1
176.955	3.333	2.707	1
180.297	3.333	1.633	1
183.638	3.333	2.316	1
186.98	3.333	1.881	1
208.336	3.333	2.642	1
211.677	3.333	2.513	1
215.019	3.333	1.777	1
218.36	3.333	2.612	1
221.702	3.333	1.893	1
225.043	3.333	2.051	1
246.399	3.333	2.062	1
249.741	3.333	2.052	1
253.082	3.333	2.387	1
256.424	3.333	2.642	1
259.765	3.333	2.455	1
263.106	3.333	2.141	1
284.463	3.333	2.322	1
287.804	3.333	1.791	1
291.146	3.333	3.215	1
294.487	3.333	0.021	1
297.828	3.333	1.684	1
301.17	3.333	1.774	1
322.526	3.333	1.903	1
325.868	3.333	2.506	1
329.209	3.333	1.987	1
332.551	3.333	2.168	1
335.892	3.333	1.568	1
339.233	3.333	1.791	1
360.59	3.333	2.352	1
363.931	3.333	1.775	1
367.272	3.333	2.226	1
370.614	3.333	2.528	1
373.955	3.333	1.797	1
377.297	3.333	1.685	1
398.653	3.333	1.893	1
401.995	3.333	2.342	1
405.336	3.333	1.819	1
408.677	3.333	2.366	1
412.019	3.333	2.201	0
415.36	3.333	1.539	1
436.717	3.333	1.811	1
440.058	3.333	3.074	1
443.4	3.333	2.079	1
446.741	3.333	1.986	1
450.082	3.333	2.293	1
453.424	3.333	2.411	1
