onset	duration	RT	accuracy
18.02	3.333	0.998	1
21.362	3.333	0.734	1
24.703	3.333	0.61	1
28.044	3.333	0.597	1
31.386	3.333	0.53	1
34.727	3.333	0.49	1
56.084	3.333	0.508	1
59.425	3.333	0.683	1
62.766	3.333	0.923	1
66.108	3.333	0.904	1
69.449	3.333	0.749	1
72.791	3.333	0.661	1
94.147	3.333	0.536	1
97.489	3.333	0.749	1
100.83	3.333	0.572	1
104.171	3.333	0.749	1
107.513	3.333	0.566	1
110.854	3.333	0.652	1
132.211	3.333	0.827	1
135.552	3.333	0.543	1
138.893	3.333	0.749	1
142.235	3.333	0.599	1
145.576	3.333	0.82	1
148.918	3.333	0.566	1
170.274	3.333	0.951	1
173.615	3.333	0.715	1
176.957	3.333	0.571	1
180.298	3.333	0.681	1
183.64	3.333	0.901	1
186.981	3.333	1.024	1
208.337	3.333	0.658	1
211.679	3.333	0.586	1
215.02	3.333	0.603	1
218.362	3.333	0.738	1
221.703	3.333	0.785	1
225.044	3.333	0.666	1
246.401	3.333	0.646	1
249.742	3.333	0.599	1
253.084	3.333	0.864	1
256.425	3.333	0.57	1
259.766	3.333	0.79	1
263.108	3.333	0.742	1
284.464	3.333	0.621	1
287.806	3.333	0.773	1
291.147	3.333	0.722	1
294.488	3.333	0.504	1
297.83	3.333	0.659	1
301.171	3.333	0.6	1
322.528	3.333	0.604	1
325.869	3.333	0.762	1
329.211	3.333	0.665	1
332.552	3.333	0.645	1
335.893	3.333	0.517	1
339.235	3.333	0.869	1
360.591	3.333	0.632	1
363.933	3.333	0.564	1
367.274	3.333	0.561	1
370.615	3.333	0.802	1
373.957	3.333	0.611	1
377.298	3.333	0.66	1
398.655	3.333	0.662	1
401.996	3.333	0.587	1
405.337	3.333	0.627	1
408.679	3.333	0.614	1
412.02	3.333	0.526	1
415.362	3.333	0.528	1
436.718	3.333	0.75	1
440.059	3.333	0.588	1
443.401	3.333	0.551	1
446.742	3.333	0.604	1
450.084	3.333	0.46	1
453.425	3.333	0.822	1
