onset	duration	RT	accuracy
18.025	3.333	1.332	1
21.364	3.333	0.762	1
24.703	3.333	0.785	1
28.042	3.333	0.77	1
31.38	3.333	0.666	1
34.719	3.333	0.667	1
56.07	3.333	0.744	1
59.409	3.333	0.694	1
62.747	3.333	0.584	1
66.086	3.333	0.868	1
69.425	3.333	0.787	1
72.763	3.333	0.731	1
94.114	3.333	0.715	1
97.453	3.333	0.675	1
100.792	3.333	0.621	1
104.13	3.333	0.92	1
107.469	3.333	0.644	1
110.808	3.333	0.671	1
132.159	3.333	0.925	1
135.497	3.333	0.679	1
138.836	3.333	0.725	1
142.175	3.333	0.708	1
145.513	3.333	0.672	1
148.852	3.333	0.775	1
170.203	3.333	0.669	1
173.542	3.333	0.94	1
176.881	3.333	0.769	1
180.219	3.333	0.683	1
183.558	3.333	1.044	1
186.897	3.333	0.84	1
208.248	3.333	0.686	1
211.586	3.333	0.668	1
214.925	3.333	0.64	1
218.264	3.333	0.855	1
221.602	3.333	0.832	1
224.941	3.333	0.812	1
246.292	3.333	0.724	1
249.631	3.333	0.677	1
252.969	3.333	0.72	1
256.308	3.333	0.571	1
259.647	3.333	0.611	1
262.985	3.333	0.719	1
284.336	3.333	0.652	1
287.675	3.333	0.62	1
291.014	3.333	0.712	1
294.353	3.333	0.709	1
297.691	3.333	0.561	1
301.03	3.333	0.76	1
322.381	3.333	0.693	1
325.72	3.333	0.592	1
329.058	3.333	0.985	1
332.397	3.333	0.69	1
335.736	3.333	0.662	1
339.074	3.333	1.122	1
360.425	3.333	0.661	1
363.764	3.333	0.656	1
367.103	3.333	0.799	1
370.441	3.333	0.682	1
373.78	3.333	0.63	1
377.119	3.333	0.791	1
398.47	3.333	0.814	1
401.808	3.333	0.7	1
405.147	3.333	0.737	1
408.486	3.333	0.757	1
411.825	3.333	0.605	1
415.163	3.333	0.662	1
436.514	3.333	0.705	1
439.853	3.333	0.661	1
443.192	3.333	0.621	1
446.53	3.333	0.734	1
449.869	3.333	0.666	1
453.208	3.333	0.758	1
