onset	duration	RT	accuracy
18.023	3.333	0.985	1
21.364	3.333	0.776	1
24.706	3.333	0.799	1
28.047	3.333	0.691	1
31.388	3.333	0.583	1
34.73	3.333	0.601	1
56.086	3.333	0.773	1
59.428	3.333	0.897	1
62.769	3.333	0.7	1
66.111	3.333	0.892	1
69.452	3.333	0.783	1
72.793	3.333	0.759	1
94.15	3.333	0.755	1
97.491	3.333	0.602	1
100.833	3.333	0.593	1
104.174	3.333	0.732	1
107.515	3.333	0.611	1
110.857	3.333	0.887	1
132.213	3.333	1.1	1
135.555	3.333	0.596	1
138.896	3.333	0.944	1
142.237	3.333	0.672	1
145.579	3.333	0.708	1
148.92	3.333	0.563	1
170.277	3.333	0.987	1
173.618	3.333	0.802	1
176.959	3.333	0.753	1
180.301	3.333	0.867	1
183.642	3.333	0.929	1
186.984	3.333	0.838	1
208.34	3.333	0.926	1
211.682	3.333	0.673	1
215.023	3.333	0.76	1
218.364	3.333	1.188	1
221.706	3.333	0.826	1
225.047	3.333	0.927	1
246.404	3.333	0.724	1
249.745	3.333	0.666	1
253.086	3.333	0.689	1
256.428	3.333	0.902	1
259.769	3.333	0.71	1
263.111	3.333	0.727	1
284.467	3.333	0.739	1
287.808	3.333	0.876	1
291.15	3.333	0.645	1
294.491	3.333	0.974	0
297.832	3.333	1.047	1
301.174	3.333	0.783	1
322.53	3.333	0.731	1
325.872	3.333	0.667	1
329.213	3.333	0.805	1
332.555	3.333	0.693	1
335.896	3.333	0.67	1
339.237	3.333	1.045	1
360.594	3.333	0.938	1
363.935	3.333	0.771	1
367.277	3.333	0.827	1
370.618	3.333	0.81	1
373.959	3.333	0.778	1
377.301	3.333	1.261	1
398.657	3.333	0.903	1
401.999	3.333	0.735	1
405.34	3.333	0.752	1
408.681	3.333	1.024	1
412.023	3.333	0.66	1
415.364	3.333	0.978	1
436.721	3.333	1.623	1
440.062	3.333	0.776	1
443.403	3.333	0.716	1
446.745	3.333	0.776	1
450.086	3.333	0.793	1
453.428	3.333	0.752	1
