onset	duration	type
18.021	14	gen
32.021	6	report
56.06	14	gen
70.06	6	report
94.098	14	gen
108.098	6	report
132.137	14	gen
146.137	6	report
170.175	14	gen
184.175	6	report
208.213	14	gen
222.213	6	report
246.252	14	gen
260.252	6	report
284.29	14	gen
298.29	6	report
322.329	14	gen
336.329	6	report
360.367	14	gen
374.367	6	report
398.406	14	gen
412.406	6	report
436.444	14	gen
450.444	6	report
