onset	duration	RT	accuracy
18.022	3.333	0.73	1
21.361	3.333	0.751	1
24.699	3.333	0.861	1
28.038	3.333	0.634	1
31.377	3.333	0.605	1
34.715	3.333	0.566	1
56.066	3.333	1.373	1
59.405	3.333	0.814	1
62.744	3.333	0.956	1
66.082	3.333	0.872	1
69.421	3.333	0.786	1
72.76	3.333	0.829	1
94.111	3.333	0.647	1
97.449	3.333	0.953	1
100.788	3.333	0.716	1
104.127	3.333	0.821	1
107.466	3.333	0.683	1
110.804	3.333	0.901	1
132.155	3.333	0.8	1
135.494	3.333	1.001	1
138.833	3.333	0.751	1
142.171	3.333	0.852	1
145.51	3.333	0.8	1
148.849	3.333	0.729	1
170.2	3.333	0.652	1
173.538	3.333	0.759	1
176.877	3.333	0.652	1
180.216	3.333	1.099	1
183.555	3.333	1.434	1
186.893	3.333	0.917	1
208.244	3.333	1.157	1
211.583	3.333	0.739	1
214.922	3.333	0.937	1
218.26	3.333	0.968	1
221.599	3.333	0.777	1
224.938	3.333	0.74	1
246.289	3.333	0.916	1
249.627	3.333	0.59	1
252.966	3.333	1.201	1
256.305	3.333	0.714	1
259.643	3.333	0.689	1
262.982	3.333	0.958	1
284.333	3.333	0.758	1
287.672	3.333	0.972	1
291.011	3.333	0.642	1
294.349	3.333	0.729	1
297.688	3.333	0.569	1
301.027	3.333	0.792	1
322.378	3.333	0.868	1
325.716	3.333	1.207	1
329.055	3.333	0.781	1
332.394	3.333	1.199	1
335.732	3.333	1.003	1
339.071	3.333	0.758	1
360.422	3.333	0.844	1
363.761	3.333	0.707	1
367.099	3.333	1.159	1
370.438	3.333	1.136	1
373.777	3.333	0.845	1
377.116	3.333	0.765	1
398.467	3.333	1.567	1
401.805	3.333	0.859	1
405.144	3.333	0.805	1
408.483	3.333	1.309	1
411.821	3.333	0.611	1
415.16	3.333	1.281	1
436.511	3.333	0.726	1
439.85	3.333	0.655	1
443.188	3.333	0.707	1
446.527	3.333	1.094	1
449.866	3.333	1.103	1
453.205	3.333	0.962	1
