onset	duration	RT	accuracy
18.233	6.7	0.346	1
24.907	6.7	0.301	1
31.582	6.7	0.233	1
56.48	6.7	0.722	1
63.154	6.7	0.273	1
69.828	6.7	0.305	1
94.726	6.7	0.348	1
101.401	6.7	0.088	1
108.075	6.7	0.197	1
132.973	6.7	0.422	0
139.647	6.7	0.295	1
146.322	6.7	0.261	0
171.22	6.7	0.222	1
177.894	6.7	0.322	1
184.569	6.7	0.451	1
209.467	6.7	0.27	1
216.141	6.7	0.203	1
222.815	6.7	0.249	1
247.713	6.7	0.648	1
254.388	6.7	0.208	1
261.062	6.7	0.359	1
285.96	6.7	0.292	0
292.635	6.7	0.265	0
299.309	6.7	0.436	1
324.207	6.7	0.246	1
330.881	6.7	0.291	1
337.556	6.7	0.358	1
362.454	6.7	0.316	0
369.128	6.7	0.375	0
375.803	6.7	0.073	1
400.7	6.7	0.518	1
407.375	6.7	0.303	1
414.049	6.7	0.315	1
438.947	6.7	0.287	1
445.622	6.7	0.466	1
452.296	6.7	NaN	NaN
