onset	duration	RT	accuracy
18.216	6.7	0.958	1
24.826	6.7	0.33	1
31.437	6.7	0.238	1
56.26	6.7	0.53	1
62.888	6.7	0.3	1
69.498	6.7	0.277	1
94.321	6.7	0.513	1
100.949	6.7	NaN	NaN
107.559	6.7	0.433	0
132.399	6.7	0.306	1
139.01	6.7	0.271	1
145.621	6.7	0.543	0
170.444	6.7	0.281	1
177.054	6.7	0.3	1
183.682	6.7	0.286	1
208.522	6.7	0.275	1
215.149	6.7	0.427	1
221.76	6.7	0.21	1
246.583	6.7	NaN	NaN
253.193	6.7	0.219	1
259.804	6.7	0.273	1
284.627	6.7	0.373	0
291.238	6.7	0.348	1
297.849	6.7	0.47	0
322.688	6.7	NaN	NaN
329.299	6.7	0.459	0
335.91	6.7	0.301	0
360.75	6.7	0.63	0
367.377	6.7	0.611	1
373.988	6.7	0.287	1
398.811	6.7	0.331	0
405.421	6.7	0.531	0
412.032	6.7	0.304	1
436.855	6.7	0.352	0
443.466	6.7	0.337	1
450.076	6.7	0.281	0
