onset	duration	RT	accuracy
18.029	3.333	1.875	1
21.368	3.333	2.127	1
24.707	3.333	1.876	1
28.046	3.333	2.839	1
31.384	3.333	1.342	1
34.723	3.333	2.327	1
56.074	3.333	1.323	1
59.413	3.333	1.694	1
62.752	3.333	1.783	1
66.09	3.333	1.681	1
69.429	3.333	2.686	1
72.768	3.333	1.9	1
94.119	3.333	1.783	1
97.458	3.333	3.201	0
100.796	3.333	2.092	1
104.135	3.333	2.616	1
107.474	3.333	1.556	1
110.812	3.333	2.508	1
132.164	3.333	2.218	1
135.502	3.333	2.883	1
138.841	3.333	2.569	1
142.18	3.333	2.422	1
145.518	3.333	2.208	1
148.857	3.333	2.461	0
170.208	3.333	2.325	1
173.547	3.333	2.074	1
176.886	3.333	2.367	1
180.224	3.333	1.423	1
183.563	3.333	NaN	NaN
186.902	3.333	0.193	1
208.253	3.333	2.913	1
211.592	3.333	2.726	1
214.931	3.333	1.705	1
218.269	3.333	2.457	0
221.608	3.333	2.106	1
224.947	3.333	1.821	1
246.298	3.333	1.834	1
249.637	3.333	2.144	1
252.975	3.333	2.035	1
256.314	3.333	2.736	1
259.653	3.333	2.032	1
262.992	3.333	1.731	1
284.343	3.333	2.423	1
287.681	3.333	1.893	1
291.02	3.333	2.357	1
294.359	3.333	2.254	1
297.698	3.333	1.961	0
301.036	3.333	2.713	1
322.388	3.333	1.674	1
325.726	3.333	1.757	1
329.065	3.333	1.631	1
332.404	3.333	2.889	1
335.742	3.333	1.999	0
339.081	3.333	1.782	1
360.432	3.333	2.347	1
363.771	3.333	1.925	1
367.11	3.333	2.019	1
370.449	3.333	2.164	1
373.787	3.333	1.465	1
377.126	3.333	1.721	0
398.477	3.333	1.767	1
401.816	3.333	2.296	1
405.155	3.333	2.313	1
408.493	3.333	2.017	1
411.832	3.333	2.173	0
415.171	3.333	1.441	1
436.522	3.333	1.622	1
439.861	3.333	2.499	1
443.2	3.333	1.962	1
446.538	3.333	1.621	1
449.877	3.333	2.209	1
453.216	3.333	1.956	1
